Nday,Tree,Date,avg_SWexcess,liq_O18,liq_2H,SWexPred,Pred_18O,Pred_2H
-23,2,14/06/2018,-6.953688972,-10.75245022,-88.64559548,NA,NA,NA
-22,2,15/06/2018,-4.803095403,-9.323929999,-76.63821239,NA,NA,NA
-21,2,16/06/2018,-8.728122301,-10.07722309,-85.76096162,NA,NA,NA
-20,2,17/06/2018,-6.238884122,-10.8535426,-88.62832808,NA,NA,NA
-19,2,18/06/2018,-4.38025788,-10.86241468,-86.83091918,NA,NA,NA
-18,2,19/06/2018,-4.713196813,-9.961533221,-80.94777604,NA,NA,NA
-17,2,20/06/2018,-5.777697096,-10.41709465,-85.1556502,NA,NA,NA
-16,2,21/06/2018,-9.921070636,-8.833945969,-78.37529782,NA,NA,NA
-15,2,22/06/2018,-10.15168867,-11.37405813,-96.13268977,NA,NA,NA
-14,2,23/06/2018,-4.859257601,-10.30408332,-83.45743248,NA,NA,NA
-13,2,24/06/2018,3.585993459,-9.881031808,-72.09312602,NA,NA,NA
-12,2,25/06/2018,-8.677742457,-8.613856342,-75.61335122,NA,NA,NA
-10,2,27/06/2018,-7.946909089,-9.897748651,-83.74137478,NA,NA,NA
-9,2,28/06/2018,-9.652455522,-8.353868511,-74.79414825,NA,NA,NA
-8,2,29/06/2018,-8.225198752,-12.12900401,-99.4153264,NA,NA,NA
-7,2,30/06/2018,-7.637338642,-10.77562296,-89.48913704,NA,NA,NA
-6,2,01/07/2018,-15.64905761,-11.05500397,-99.42858501,NA,NA,NA
-5,2,02/07/2018,-15.62518577,-9.565916546,-89.13000994,NA,NA,NA
-4,2,03/07/2018,-11.29855718,-11.30489361,-96.80232309,NA,NA,NA
-3,2,04/07/2018,-8.221217603,-8.706944545,-75.79913496,NA,NA,NA
1,2,08/07/2018,-10.453358,-9.404101191,-82.84165622,-10.453358,-9.404101191,-82.84165622
2,2,09/07/2018,-8.643379493,-6.013772247,-57.638408,-8.643379493,-6.013772247,-57.638408
3,NA,NA,NA,NA,NA,-18.15133793,-8.344433161,-83.22792675
4,2,11/07/2018,-24.20733863,-11.09000442,-108.2283691,-24.20733863,-11.09000442,-108.2283691
5,2,12/07/2018,-14.91186726,-8.556138596,-81.44922357,-14.91186726,-8.556138596,-81.44922357
6,NA,NA,NA,NA,NA,-12.28859966,-7.152351799,-69.13982708
7,2,14/07/2018,-14.70596968,-7.54781881,-74.28591947,-14.70596968,-7.54781881,-74.28591947
8,NA,NA,NA,NA,NA,-14.02379015,-8.333545137,-79.0252516
9,NA,NA,NA,NA,NA,-10.34583216,-9.13858691,-80.90208184
10,2,17/07/2018,-5.836856373,-9.851512912,-81.31229546,-5.836856373,-9.851512912,-81.31229546
11,NA,NA,NA,NA,NA,-2.143406073,-10.35472244,-81.09099093
12,NA,NA,NA,NA,NA,1.160844826,-10.50593687,-78.83011956
13,2,20/07/2018,5.020439762,-10.15670807,-72.5608459,5.020439762,-10.15670807,-72.5608459
14,2,21/07/2018,9.760326656,-9.303441707,-61.93342112,9.760326656,-9.303441707,-61.93342112
15,NA,NA,NA,NA,NA,13.66858498,-8.435413008,-52.03576477
16,NA,NA,NA,NA,NA,16.17975329,-7.840568667,-45.42017051
17,NA,NA,NA,NA,NA,17.16988378,-7.720309798,-43.60025383
18,NA,NA,NA,NA,NA,16.51502863,-8.276037518,-48.08963025
19,2,26/07/2018,14.09124003,-9.709152943,-60.40191528,14.09124003,-9.709152943,-60.40191528
20,2,27/07/2018,10.79769493,-11.4301772,-75.57052773,10.79769493,-11.4301772,-75.57052773
21,NA,NA,NA,NA,NA,10.39399999,-10.7717972,-71.4314007
22,NA,NA,NA,NA,NA,12.73460964,-8.61856299,-54.23347499
23,2,30/07/2018,16.44190903,-6.940710368,-38.9489925,16.44190903,-6.940710368,-38.9489925
24,2,31/07/2018,19.62141555,-7.155547767,-37.25186404,19.62141555,-7.155547767,-37.25186404
25,2,01/08/2018,20.02047597,-7.92664519,-42.17337585,20.02047597,-7.92664519,-42.17337585
26,2,02/08/2018,22.69488722,-7.551467155,-36.91023615,22.69488722,-7.551467155,-36.91023615
27,2,03/08/2018,30.37379931,-9.522375292,-42.83059021,30.37379931,-9.522375292,-42.83059021
28,2,04/08/2018,26.21802357,-8.702178439,-41.32700765,26.21802357,-8.702178439,-41.32700765
29,2,05/08/2018,23.9872059,-8.83850363,-44.49846915,23.9872059,-8.83850363,-44.49846915
