INDICATIVO,year,month,day,HUMAX,HUMIN
2017Y,2009,7,24,90,25
2017Y,2009,7,25,86,20
2017Y,2009,7,26,83,14
2017Y,2009,7,27,83,13
2017Y,2009,7,28,86,12
2017Y,2009,7,29,70,11
2017Y,2009,7,30,85,15
2017Y,2009,7,31,84,17
2017Y,2009,8,1,83,32
2017Y,2009,8,2,89,26
2017Y,2009,8,3,81,24
2017Y,2009,8,4,83,20
2017Y,2009,8,5,83,18
2017Y,2009,8,6,93,23
2017Y,2009,8,7,92,67
2017Y,2009,8,8,94,43
2017Y,2009,8,9,95,77
2017Y,2009,8,10,93,44
2017Y,2009,8,11,94,35
2017Y,2009,8,12,88,32
2017Y,2009,8,13,87,34
2017Y,2009,8,14,90,29
2017Y,2009,8,15,85,24
2017Y,2009,8,16,69,22
2017Y,2009,8,17,68,19
2017Y,2009,8,18,71,16
2017Y,2009,8,19,64,18
2017Y,2009,8,20,85,20
2017Y,2009,8,21,90,20
2017Y,2009,8,22,84,23
2017Y,2009,8,23,79,15
2017Y,2009,8,24,72,19
2017Y,2009,8,25,92,49
2017Y,2009,8,26,94,25
2017Y,2009,8,27,87,19
2017Y,2009,8,28,89,56
2017Y,2009,8,29,89,17
2017Y,2009,8,30,52,15
2017Y,2009,8,31,92,33
2017Y,2009,9,1,95,36
2017Y,2009,9,2,95,21
2017Y,2009,9,3,68,30
2017Y,2009,9,4,88,51
2017Y,2009,9,5,84,20
2017Y,2009,9,6,75,40
2017Y,2009,9,7,92,51
2017Y,2009,9,8,96,37
2017Y,2009,9,9,77,21
2017Y,2009,9,10,66,20
2017Y,2009,9,11,74,29
2017Y,2009,9,12,95,22
2017Y,2009,9,13,97,45
2017Y,2009,9,14,88,46
2017Y,2009,9,15,84,40
2017Y,2009,9,16,93,59
2017Y,2009,9,17,97,51
2017Y,2009,9,18,98,66
2017Y,2009,9,19,98,44
2017Y,2009,9,20,92,68
2017Y,2009,9,21,94,67
2017Y,2009,9,22,91,44
2017Y,2009,9,23,91,32
2017Y,2009,9,24,81,35
2017Y,2009,9,25,83,44
2017Y,2009,9,26,87,34
2017Y,2009,9,27,96,46
2017Y,2009,9,28,95,52
2017Y,2009,9,29,91,46
2017Y,2009,9,30,93,51
2017Y,2009,10,1,94,60
2017Y,2009,10,2,88,54
2017Y,2009,10,3,96,28
2017Y,2009,10,4,85,34
2017Y,2009,10,5,89,25
2017Y,2009,10,6,80,32
2017Y,2009,10,7,79,41
2017Y,2009,10,8,97,52
2017Y,2009,10,9,96,41
2017Y,2009,10,10,94,52
2017Y,2009,10,11,95,63
2017Y,2009,10,12,89,55
2017Y,2009,10,13,79,10
2017Y,2009,10,14,68,28
2017Y,2009,10,15,75,13
2017Y,2009,10,16,74,9
2017Y,2009,10,17,49,12
2017Y,2009,10,18,43,8
2017Y,2009,10,19,61,13
2017Y,2009,10,20,98,52
2017Y,2009,10,21,98,60
2017Y,2009,10,22,100,60
2017Y,2009,10,23,99,56
2017Y,2009,10,24,99,50
2017Y,2009,10,25,96,52
2017Y,2009,10,26,99,30
2017Y,2009,10,27,98,43
2017Y,2009,10,28,95,41
2017Y,2009,10,29,88,39
2017Y,2009,10,30,93,37
2017Y,2009,10,31,91,39
2017Y,2009,11,1,94,57
2017Y,2009,11,2,93,58
2017Y,2009,11,3,97,36
2017Y,2009,11,4,93,47
2017Y,2009,11,5,90,53
2017Y,2009,11,6,98,80
2017Y,2009,11,7,98,57
2017Y,2009,11,8,95,63
2017Y,2009,11,9,93,81
2017Y,2009,11,10,95,73
2017Y,2009,11,11,98,53
2017Y,2009,11,12,97,52
2017Y,2009,11,13,98,57
2017Y,2009,11,14,84,53
2017Y,2009,11,15,99,49
2017Y,2009,11,16,96,52
2017Y,2009,11,17,92,42
2017Y,2009,11,18,98,63
2017Y,2009,11,19,94,47
2017Y,2009,11,20,98,46
2017Y,2009,11,21,88,55
2017Y,2009,11,22,95,51
2017Y,2009,11,23,96,55
2017Y,2009,11,24,88,24
2017Y,2009,11,25,98,56
2017Y,2009,11,26,100,93
2017Y,2009,11,27,98,72
2017Y,2009,11,28,90,64
2017Y,2009,11,29,97,79
2017Y,2009,11,30,96,62
2017Y,2009,12,1,98,51
2017Y,2009,12,2,100,76
2017Y,2009,12,3,97,76
2017Y,2009,12,4,97,68
2017Y,2009,12,5,98,76
2017Y,2009,12,6,100,72
2017Y,2009,12,7,100,64
2017Y,2009,12,8,95,57
2017Y,2009,12,9,93,52
2017Y,2009,12,10,95,41
2017Y,2009,12,11,84,26
2017Y,2009,12,12,87,15
2017Y,2009,12,13,87,71
2017Y,2009,12,14,88,68
2017Y,2009,12,15,87,72
2017Y,2009,12,16,98,51
2017Y,2009,12,17,100,53
2017Y,2009,12,18,93,70
2017Y,2009,12,19,90,53
2017Y,2009,12,20,92,55
2017Y,2009,12,21,100,79
2017Y,2009,12,22,100,68
2017Y,2009,12,23,100,82
2017Y,2009,12,24,100,69
2017Y,2009,12,25,96,51
2017Y,2009,12,26,100,79
2017Y,2009,12,27,98,54
2017Y,2009,12,28,100,92
2017Y,2009,12,29,100,86
2017Y,2009,12,30,100,85
2017Y,2009,12,31,99,78
2017Y,2010,1,1,96,67
2017Y,2010,1,2,97,79
2017Y,2010,1,3,100,96
2017Y,2010,1,4,100,93
2017Y,2010,1,5,100,81
2017Y,2010,1,6,93,59
2017Y,2010,1,7,92,79
2017Y,2010,1,8,94,72
2017Y,2010,1,9,91,75
2017Y,2010,1,10,93,51
2017Y,2010,1,11,99,63
2017Y,2010,1,12,100,73
2017Y,2010,1,13,100,68
2017Y,2010,1,14,100,74
2017Y,2010,1,15,98,60
2017Y,2010,1,16,100,74
2017Y,2010,1,17,100,77
2017Y,2010,1,18,100,95
2017Y,2010,1,19,100,76
2017Y,2010,1,20,98,52
2017Y,2010,1,21,98,64
2017Y,2010,1,22,98,55
2017Y,2010,1,23,99,82
2017Y,2010,1,24,99,84
2017Y,2010,1,25,96,74
2017Y,2010,1,26,96,60
2017Y,2010,1,27,92,45
2017Y,2010,1,28,93,55
2017Y,2010,1,29,96,65
2017Y,2010,1,30,93,56
2017Y,2010,1,31,99,62
2017Y,2010,2,1,96,64
2017Y,2010,2,2,83,38
2017Y,2010,2,3,80,31
2017Y,2010,2,4,100,74
2017Y,2010,2,5,93,63
2017Y,2010,2,6,85,54
2017Y,2010,2,7,95,68
2017Y,2010,2,8,97,89
2017Y,2010,2,9,94,77
2017Y,2010,2,10,84,64
2017Y,2010,2,11,92,71
2017Y,2010,2,12,90,72
2017Y,2010,2,13,93,73
2017Y,2010,2,14,92,63
2017Y,2010,2,15,97,83
2017Y,2010,2,16,100,92
2017Y,2010,2,17,100,68
2017Y,2010,2,18,100,60
2017Y,2010,2,19,96,67
2017Y,2010,2,20,95,50
2017Y,2010,2,21,100,88
2017Y,2010,2,22,100,68
2017Y,2010,2,23,98,74
2017Y,2010,2,24,96,69
2017Y,2010,2,25,96,68
2017Y,2010,2,26,95,47
2017Y,2010,2,27,100,60
2017Y,2010,2,28,84,44
2017Y,2010,3,1,98,65
2017Y,2010,3,2,96,56
2017Y,2010,3,3,99,86
2017Y,2010,3,4,96,65
2017Y,2010,3,5,96,57
2017Y,2010,3,6,98,63
2017Y,2010,3,7,95,73
2017Y,2010,3,8,92,60
2017Y,2010,3,9,93,54
2017Y,2010,3,10,91,74
2017Y,2010,3,11,93,68
2017Y,2010,3,12,98,70
2017Y,2010,3,13,93,67
2017Y,2010,3,14,88,51
2017Y,2010,3,15,66,22
2017Y,2010,3,16,77,23
2017Y,2010,3,17,82,18
2017Y,2010,3,18,93,47
2017Y,2010,3,19,98,72
2017Y,2010,3,20,96,52
2017Y,2010,3,21,97,58
2017Y,2010,3,22,98,50
2017Y,2010,3,23,98,50
2017Y,2010,3,24,98,54
2017Y,2010,3,25,100,69
2017Y,2010,3,26,94,58
2017Y,2010,3,27,87,42
2017Y,2010,3,28,91,50
2017Y,2010,3,29,98,58
2017Y,2010,3,30,90,48
2017Y,2010,3,31,96,56
2017Y,2010,4,1,95,49
2017Y,2010,4,2,82,48
2017Y,2010,4,3,93,64
2017Y,2010,4,4,95,47
2017Y,2010,4,5,94,32
2017Y,2010,4,6,94,33
2017Y,2010,4,7,96,60
2017Y,2010,4,8,85,54
2017Y,2010,4,9,85,36
2017Y,2010,4,10,92,29
2017Y,2010,4,11,84,39
2017Y,2010,4,12,88,56
2017Y,2010,4,13,84,48
2017Y,2010,4,14,93,71
2017Y,2010,4,15,100,89
2017Y,2010,4,16,100,67
2017Y,2010,4,17,99,87
2017Y,2010,4,18,100,60
2017Y,2010,4,19,98,58
2017Y,2010,4,20,96,44
2017Y,2010,4,21,99,44
2017Y,2010,4,22,97,75
2017Y,2010,4,23,94,50
2017Y,2010,4,24,96,43
2017Y,2010,4,25,92,44
2017Y,2010,4,26,97,40
2017Y,2010,4,27,90,26
2017Y,2010,4,28,82,32
2017Y,2010,4,29,90,40
2017Y,2010,4,30,94,42
2017Y,2010,5,1,94,71
2017Y,2010,5,2,97,71
2017Y,2010,5,3,98,85
2017Y,2010,5,4,94,82
2017Y,2010,5,5,96,75
2017Y,2010,5,6,91,67
2017Y,2010,5,7,96,61
2017Y,2010,5,8,100,45
2017Y,2010,5,9,100,57
2017Y,2010,5,10,99,42
2017Y,2010,5,11,97,42
2017Y,2010,5,12,97,77
2017Y,2010,5,13,96,81
2017Y,2010,5,14,92,48
2017Y,2010,5,15,90,62
2017Y,2010,5,16,91,51
2017Y,2010,5,17,90,41
2017Y,2010,5,18,62,11
2017Y,2010,5,19,81,38
2017Y,2010,5,20,83,33
2017Y,2010,5,21,78,24
2017Y,2010,5,22,82,36
2017Y,2010,5,23,91,41
2017Y,2010,5,24,96,48
2017Y,2010,5,25,98,38
2017Y,2010,5,26,96,36
2017Y,2010,5,27,95,42
2017Y,2010,5,28,96,70
2017Y,2010,5,29,98,49
2017Y,2010,5,30,96,47
2017Y,2010,5,31,86,51
2017Y,2010,6,1,88,48
2017Y,2010,6,2,83,37
2017Y,2010,6,3,74,27
2017Y,2010,6,4,74,32
2017Y,2010,6,5,79,34
2017Y,2010,6,6,95,66
2017Y,2010,6,7,96,38
2017Y,2010,6,8,91,51
2017Y,2010,6,9,99,81
2017Y,2010,6,10,95,59
2017Y,2010,6,11,97,70
2017Y,2010,6,12,98,72
2017Y,2010,6,13,94,62
2017Y,2010,6,14,94,72
2017Y,2010,6,15,95,72
2017Y,2010,6,16,94,76
2017Y,2010,6,17,95,68
2017Y,2010,6,18,98,56
2017Y,2010,6,19,91,53
2017Y,2010,6,20,93,53
2017Y,2010,6,21,83,38
2017Y,2010,6,22,70,27
2017Y,2010,6,23,65,28
2017Y,2010,6,24,68,27
2017Y,2010,6,25,82,38
2017Y,2010,6,26,88,45
2017Y,2010,6,27,97,35
2017Y,2010,6,28,94,41
2017Y,2010,6,29,94,51
2017Y,2010,6,30,94,36
2017Y,2010,7,1,90,38
2017Y,2010,7,2,93,47
2017Y,2010,7,3,92,41
2017Y,2010,7,4,92,38
2017Y,2010,7,5,84,33
2017Y,2010,7,6,77,34
2017Y,2010,7,7,87,38
2017Y,2010,7,8,83,34
2017Y,2010,7,9,86,39
2017Y,2010,7,10,92,38
2017Y,2010,7,11,88,29
