INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
2017Y,2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2017Y,2009,8,68,0,0,0,0,NA,0,88,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,174
2017Y,2009,9,8,0,0,0,0,0,16,0,0,0,0,102,0,0,NA,28,NA,18,0,0,0,0,0,0,0,0,0,0,0,18,NA
2017Y,2009,10,26,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,166,386,50,0,0,0,0,0,0,0,0,0
2017Y,2009,11,42,0,0,10,22,18,40,168,74,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,20,0,156,18,16,NA
2017Y,2009,12,2,74,8,2,0,104,18,0,0,0,0,0,0,0,0,52,0,6,0,4,276,94,446,108,2,172,54,252,280,192,66
2017Y,2010,1,6,0,30,124,0,0,0,0,4,0,10,66,404,90,0,22,14,36,32,0,0,6,20,12,2,0,0,0,10,20,14
2017Y,2010,2,18,2,0,164,2,0,0,62,2,0,0,0,0,0,0,170,154,0,0,6,118,168,170,16,288,26,184,24,NA,NA,NA
2017Y,2010,3,8,NA,98,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,20,10,20,2,0,116,160,28,0,0,166,6,26
2017Y,2010,4,8,0,16,0,0,12,24,0,0,0,0,0,6,6,56,142,72,144,10,0,4,84,0,0,16,0,0,0,6,58,NA
2017Y,2010,5,10,138,44,2,2,0,28,152,16,14,2,154,0,22,6,0,0,0,0,0,0,0,0,0,0,0,160,26,0,0,0
2017Y,2010,6,0,0,0,0,12,4,0,36,100,76,44,14,0,4,16,102,0,0,12,0,0,0,0,0,8,0,12,2,0,0,NA
2017Y,2010,7,2,108,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0
2017Y,2010,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
2017Y,2010,9,54,60,0,0,2,0,6,0,0,0,0,0,0,0,0,214,36,0,0,0,56,0,0,0,8,0,0,NA,0,0,NA
2017Y,2010,10,0,0,148,0,0,0,70,10,238,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,130,208,104
2017Y,2010,11,28,0,0,0,0,4,22,58,44,8,0,0,0,46,2,4,20,2,214,10,10,8,0,0,0,2,0,0,0,50,NA
2017Y,2010,12,30,26,6,6,124,142,106,168,2,0,0,0,12,0,0,0,0,0,0,10,338,140,4,0,0,0,0,0,0,0,4
