"MpNo";"DT";"MpNo_m";"CO2in_G";"CO2out_G";"H2Oin_G";"H2Oout_G";"ATP";"Tref";"Tcuv";"FlowIn";"FlowOut";"PAR";"H2O_P";"mH2O_P";"dDH_out";"d18O_out";"dDH_in";"d18O_in";"ShootID";"Area";"hour";"day";"month";"TrA";"dDH_ex";"dH2O";"dDH_ex_a"
2;2018-07-24 13:19:00;"2J";425.6;356.6;17.17;24.37;1015;26.8;27.6;568.043728445913;563.944919185006;1653;26284.4087156398;26.2844087156398;228.303710380184;-15.353979268564;-138.271673859626;-21.0718280095379;102;3250.553;13;24;7;1.23066098890355;351.135544528696;1116.23216179777;30.3029502166772
2;2018-07-24 13:49:00;"2J";399.1;344.1;18.5;26.07;1015;28.2;30.2;568.043728445913;563.728534241863;1595;28773.1648293839;28.7731648293839;262.902698414434;-13.6278571624976;-135.215109749536;-20.5277699864645;102;3250.553;13;24;7;1.29340510042667;371.925555714415;1209.96945968883;29.00705014218
2;2018-07-24 14:19:00;"2J";401.8;345.9;17.9;26.3;1013;28.2;30.1;568.043728445913;563.248665317639;1526;28805.0149241706;28.8050149241706;277.256535405235;-12.9091650184692;-134.439272436806;-20.7089747281706;102;3250.553;14;24;7;1.436828674305;380.529855552989;1124.86583292719;31.2325253885588
2;2018-07-24 14:49:00;"2J";382.2;345.7;17.7;26.35;1013;28.2;30.2;568.043728445913;563.106947323581;1495;28415.9882985782;28.4159882985782;262.120079160732;-12.8623654262701;-136.157569165896;-20.8921905477559;102;3250.553;14;24;7;1.47921945095142;365.019002570893;1048.5439896436;30.9799552161512
2;2018-07-24 15:19:00;"2J";401.3;351.5;17.1;26.54;1014;28.8;31.9;568.043728445913;562.66472072545;1468;28705.8997298578;28.7058997298578;245.257855519224;-13.0567033046398;-139.460120411604;-21.1961111708436;102;3250.553;15;24;7;1.61145820778638;349.711481956342;928.652837075037;30.1087689551448
7;2018-07-24 13:12:00;"7J";422.1;322.1;18.67;25.18;1088;26.9;27.4;554.355927760469;550.981050884556;1862;28968.8844976303;28.9688844976303;-62.1324472068239;-13.7770923428294;-139.441096978875;-21.4322270246742;103;2296.17;13;24;7;1.43574267552889;48.0842915358113;94.1644106086001;32.0167192185186
7;2018-07-24 13:42:00;"7J";394;313.3;20.26;24.21;1088;26.7;27.3;554.355927760469;552.305142068584;1779;27596.2998578199;27.5962998578199;-64.7103641343539;-14.2274174678199;-135.573968685333;-20.4393999828649;103;2296.17;13;24;7;0.87324166592026;49.1089756082053;157.680748308039;27.9412311775862
7;2018-07-24 14:12:00;"7J";390.2;315.9;19.18;24.16;1076;26.8;27.4;554.355927760469;551.743664063485;1717;27849.1410473934;27.8491410473934;-65.1655772049996;-14.3016820575024;-134.468332157374;-20.7067423609171;103;2296.17;14;24;7;1.11209543426535;49.2478792550196;118.813017212969;31.1856067299628
7;2018-07-24 14:42:00;"7J";383.1;315.9;18.82;24.11;1076;26.1;26.7;554.355927760469;551.581998195161;1614;26491.0538862559;26.4910538862559;-68.8848923690478;-14.9648827488626;-135.269361080783;-20.8028150052168;103;2296.17;14;24;7;1.18097654557321;50.834169621853;120.852434392773;31.1531589609514
7;2018-07-24 15:12:00;"7J";381.7;313.3;18.12;23.38;1080;26.1;26.6;554.355927760469;551.609937460228;1497;26377.0489620853;26.3770489620853;-71.5316239674161;-15.2239448641848;-138.697052873864;-21.1335264018389;103;2296.17;15;24;7;1.16999003349851;50.2599349460623;118.774123555663;30.3711583408472
