"MpNo";"DT";"MpNo_m";"CO2in_G";"CO2out_G";"H2Oin_G";"H2Oout_G";"ATP";"Tref";"Tcuv";"FlowOut";"FlowIn";"PAR";"H2O_P";"mH2O_P";"dDH_out";"d18O_out";"dDH_in";"d18O_in";"ShootID";"Area";"hour";"day";"month";"TrA";"dDH_ex";"dH2O";"dDH_ex_a"
1;2018-09-03 16:04:00;"1S";380.5;300.8;8.8;17.59;1003;23.2;23.5;540.668127075026;540.67356529799;1112;13518.5491943128;13.5185491943128;-105.867129614233;-14.0816146094446;-103.835794064899;-14.1501253051192;101;2211.444;16;3;9;2.14258935163184;6.7857872613238;4.20343165158194;9.3652083760546
1;2018-09-03 16:41:00;"1S";381.4;359.7;10.5;17.05;1003;21.9;22.1;540.668127075026;542.819904507717;181;21016.8776095238;21.0168776095238;-108.819721094404;-15.0934190535899;-110.452058224546;-15.4805906877153;101;2211.444;16;3;9;1.59657979468102;11.9276313343152;9.57910043354532;13.3926672771764
1;2018-09-03 17:50:00;"1S";387.3;376.6;12.9;16.02;1003;19.5;19.7;540.668127075026;546.008733360041;102;19526.5772654028;19.5265772654028;-118.188715452799;-15.9620148439535;-115.333403363369;-15.674462132381;101;2211.444;17;3;9;0.76050641283813;9.507403298829;7.21314492723767;10.062293695679
1;2018-09-03 18:27:00;"1S";389.3;382.91;12.83;14.68;1003;18.1;18.3;547.512027417748;553.583390982637;79;17967.8953981043;17.9678953981043;-118.653360924494;-15.81398879343;-119.642729561444;-15.6086679686397;101;2211.444;18;3;9;0.456649452202984;7.858549422946;26.1113759464837;5.2266141876736
1;2018-09-03 19:04:00;"1S";388.2;386.58;13.1;14.11;1003;17.2;17.4;547.512027417748;554.198986112041;54;17216.4400857143;17.2164400857143;-123.417019354833;-16.7068187237194;-125.559070894699;-16.7041491128904;101;2211.444;19;3;9;0.249305849835195;10.2375304349222;38.2975803231639;8.07412200842418
1;2018-09-03 19:41:00;"1S";390.7;393.5;14.3;14.94;1003;15.7;16;547.512027417748;555.076520483922;26;18016.3983270142;18.0163983270142;-125.71121885391;-16.7056906051982;-127.880059432419;-16.7896434794717;101;2211.444;19;3;9;0.15797579448032;7.9343059876756;41.3877613873482;6.43708840335459
1;2018-09-04 06:27:00;"1S";431.4;426.6;11.1;11.5;1003;10.5;10.7;540.668127075026;546.500518404497;68;13830.0096255924;13.8300096255924;-148.304575143693;-17.9326827582173;-147.333403826821;-18.0704031200862;101;2211.444;6;4;9;0.0975009976624783;-4.8431130779546;-62.3670374560482;-2.7701788661314
1;2018-09-04 07:04:00;"1S";430.5;411.8;11.1;11.65;1003;10.9;11.1;540.668127075026;546.418755909224;138;14072.4083696682;14.0724083696682;-147.503918123399;-17.1045280711941;-147.071132469488;-17.7651669208258;101;2211.444;7;4;9;0.134063871785908;-10.6676935538462;-126.065240109677;-4.9497971028816
1;2018-09-04 07:41:00;"1S";424.1;392.8;12.2;13;1003;13;13.2;540.668127075026;546.888975529462;189;15875.9151848341;15.8759151848341;-144.407625658743;-16.3590821577926;-145.304446951799;-17.1434217356715;101;2211.444;7;4;9;0.195001780820381;-13.5349683964022;-95.5478721785238;-8.15707306642702
1;2018-09-04 10:04:00;"1S";396.7;349.6;14;17.14;1003;18.5;18.7;540.668127075026;546.605089521977;378;21441.8597867299;21.4418597867299;-128.235700931489;-15.4863299941938;-131.297207119739;-15.9892811089594;101;2211.444;10;4;9;0.765380612015606;-4.34506097793859;-8.63469098374974;-3.3829582480638
1;2018-09-04 10:41:00;"1S";392.8;341.1;14.5;18.35;1003;21.1;21.2;540.668127075026;546.493231327275;1412;22617.229492891;22.617229492891;-124.299875527656;-15.0956564690587;-129.062441199232;-16.0948312914935;101;2211.444;10;4;9;0.93844391174579;-3.5346237751864;-15.7026957659876;-0.303790867284022
1;2018-09-04 11:50:00;"1S";383.7;364.4;13.8;18.58;1003;22.6;22.7;540.668127075026;545.598198351023;576;23078.4049668246;23.0784049668246;-119.279623765698;-15.5114927464591;-119.04857573385;-15.6966530592262;101;2211.444;11;4;9;1.16513377616201;4.81231820597479;-0.131230197579689;6.5246487399596
1;2018-09-04 12:27:00;"1S";381;358.7;13.5;19.11;1003;22.1;22.2;533.824226732304;538.080793835809;165;23513.7531469194;23.5137531469194;-115.064025412149;-15.0675412224779;-118.917371291665;-15.8307272752467;101;2211.444;12;4;9;1.35013873927984;5.4763043676742;0.0567100137411848;7.72844691030859
1;2018-09-04 13:04:00;"1S";379.7;331.5;13.1;19.65;1003;22.4;22.4;533.824226732304;537.356450881305;409;24182.9425118483;24.1829425118483;-113.467069739471;-15.1437538757924;-119.977845357863;-16.3267153714092;101;2211.444;13;4;9;1.57636582525744;7.6829612668682;1.77712857378341;10.6358776134106
