Date,Time_UTC,Air_temp_C,Kvalitet
01/03/1989,00:00:00,0.3,G
01/03/1989,03:00:00,-0.2,G
01/03/1989,06:00:00,-0.5,G
01/03/1989,09:00:00,-0.2,G
01/03/1989,12:00:00,2,G
01/03/1989,15:00:00,0.6,G
01/03/1989,18:00:00,0.2,G
01/03/1989,21:00:00,0.5,G
02/03/1989,00:00:00,3,G
02/03/1989,03:00:00,1,G
02/03/1989,06:00:00,-1.5,G
02/03/1989,09:00:00,0.6,G
02/03/1989,12:00:00,0.7,G
02/03/1989,15:00:00,1,G
02/03/1989,18:00:00,0.2,G
02/03/1989,21:00:00,0.4,G
03/03/1989,00:00:00,-5,G
03/03/1989,03:00:00,-9.6,G
03/03/1989,06:00:00,-12.2,G
03/03/1989,09:00:00,-6.8,G
03/03/1989,12:00:00,-0.8,G
03/03/1989,15:00:00,-3.4,G
03/03/1989,18:00:00,-6,G
03/03/1989,21:00:00,-4.1,G
04/03/1989,00:00:00,-4,G
04/03/1989,03:00:00,-4.1,G
04/03/1989,06:00:00,-3.6,G
04/03/1989,09:00:00,-3,G
04/03/1989,12:00:00,-1.4,G
04/03/1989,15:00:00,-1.1,G
04/03/1989,18:00:00,-2.1,G
04/03/1989,21:00:00,-3.2,G
05/03/1989,00:00:00,-2.9,G
05/03/1989,03:00:00,-2.2,G
05/03/1989,06:00:00,-1,G
05/03/1989,09:00:00,0,G
05/03/1989,12:00:00,0.2,G
05/03/1989,15:00:00,0.3,G
05/03/1989,18:00:00,0.2,G
05/03/1989,21:00:00,-0.1,G
06/03/1989,00:00:00,-5.8,G
06/03/1989,03:00:00,-8.5,G
06/03/1989,06:00:00,-9.8,G
06/03/1989,09:00:00,2,G
06/03/1989,12:00:00,5.5,G
06/03/1989,15:00:00,3.8,G
06/03/1989,18:00:00,2.2,G
06/03/1989,21:00:00,0.5,G
07/03/1989,00:00:00,1.5,G
07/03/1989,03:00:00,1.8,G
07/03/1989,06:00:00,1.5,G
07/03/1989,09:00:00,0.5,G
07/03/1989,12:00:00,0.5,G
07/03/1989,15:00:00,0.6,G
07/03/1989,18:00:00,0.2,G
