"YYYYMMDD","Pday_mm","TmeanDay_C","TminDay_C","TmaxDay_C","Date","Year","Month","Month_Y"
19700101,6.3,5.2,0,10.5,1970-01-01,1970,"Jan","1970-Jan"
19700102,4,3.5,-2,9,1970-01-02,1970,"Jan","1970-Jan"
19700103,0,6,0.5,11.5,1970-01-03,1970,"Jan","1970-Jan"
19700104,0,11,4,18,1970-01-04,1970,"Jan","1970-Jan"
19700105,2.7,7.2,2,12.5,1970-01-05,1970,"Jan","1970-Jan"
19700106,10.9,6.5,1.5,11.5,1970-01-06,1970,"Jan","1970-Jan"
19700107,0,0.8,-8.5,10,1970-01-07,1970,"Jan","1970-Jan"
19700108,0,6.5,-2,15,1970-01-08,1970,"Jan","1970-Jan"
19700109,13.2,12.5,7,18,1970-01-09,1970,"Jan","1970-Jan"
19700110,0,11.8,8,15.5,1970-01-10,1970,"Jan","1970-Jan"
19700111,0,10.8,7.5,14,1970-01-11,1970,"Jan","1970-Jan"
19700112,0,10.8,5,16.5,1970-01-12,1970,"Jan","1970-Jan"
19700113,0,11.8,6.5,17,1970-01-13,1970,"Jan","1970-Jan"
19700114,0,11.5,4,19,1970-01-14,1970,"Jan","1970-Jan"
19700115,0,11.2,6.5,16,1970-01-15,1970,"Jan","1970-Jan"
19700116,0,5,-2,12,1970-01-16,1970,"Jan","1970-Jan"
19700117,0,9,2,16,1970-01-17,1970,"Jan","1970-Jan"
19700118,0,11.5,6,17,1970-01-18,1970,"Jan","1970-Jan"
19700119,3.8,11.5,5,18,1970-01-19,1970,"Jan","1970-Jan"
19700120,0,11.2,6,16.5,1970-01-20,1970,"Jan","1970-Jan"
19700121,5.3,6,0,12,1970-01-21,1970,"Jan","1970-Jan"
19700122,0,8.5,3,14,1970-01-22,1970,"Jan","1970-Jan"
19700123,0,10.5,2,19,1970-01-23,1970,"Jan","1970-Jan"
19700124,0,10.2,4,16.5,1970-01-24,1970,"Jan","1970-Jan"
19700125,38.5,9.5,6,13,1970-01-25,1970,"Jan","1970-Jan"
19700126,19.4,8,4.5,11.5,1970-01-26,1970,"Jan","1970-Jan"
19700127,0,7.8,3,12.5,1970-01-27,1970,"Jan","1970-Jan"
19700128,0,9.8,4.5,15,1970-01-28,1970,"Jan","1970-Jan"
19700129,0,9,2,16,1970-01-29,1970,"Jan","1970-Jan"
19700130,0,8.5,3,14,1970-01-30,1970,"Jan","1970-Jan"
19700131,0,8.2,1,15.5,1970-01-31,1970,"Jan","1970-Jan"
19700201,3.4,8.2,4,12.5,1970-02-01,1970,"Feb","1970-Feb"
19700202,0,8.8,3.5,14,1970-02-02,1970,"Feb","1970-Feb"
19700203,0,11.8,6,17.5,1970-02-03,1970,"Feb","1970-Feb"
19700204,0,8,2,14,1970-02-04,1970,"Feb","1970-Feb"
19700205,0,9.5,3,16,1970-02-05,1970,"Feb","1970-Feb"
19700206,0,7.2,1,13.5,1970-02-06,1970,"Feb","1970-Feb"
19700207,0,10.2,3.5,17,1970-02-07,1970,"Feb","1970-Feb"
19700208,0,4,-4,12,1970-02-08,1970,"Feb","1970-Feb"
19700209,0,4,-3.5,11.5,1970-02-09,1970,"Feb","1970-Feb"
19700210,0,9,2,16,1970-02-10,1970,"Feb","1970-Feb"
19700211,0,10.2,5,15.5,1970-02-11,1970,"Feb","1970-Feb"
19700212,0,11,5.5,16.5,1970-02-12,1970,"Feb","1970-Feb"
19700213,0,5.8,-2,13.5,1970-02-13,1970,"Feb","1970-Feb"
19700214,10.5,5.8,-1,12.5,1970-02-14,1970,"Feb","1970-Feb"
19700215,7.2,1.5,-2.5,5.5,1970-02-15,1970,"Feb","1970-Feb"
19700216,9,3.8,-2,9.5,1970-02-16,1970,"Feb","1970-Feb"
19700217,0,6,1.5,10.5,1970-02-17,1970,"Feb","1970-Feb"
19700218,5.3,8,3,13,1970-02-18,1970,"Feb","1970-Feb"
19700219,8.7,5.5,-1,12,1970-02-19,1970,"Feb","1970-Feb"
19700220,0,6.2,-1.5,14,1970-02-20,1970,"Feb","1970-Feb"
