YYYYMMDD,1060,Pday_mm
19700101,63,6.3
19700102,40,4
19700103,0,0
19700104,0,0
19700105,27,2.7
19700106,109,10.9
19700107,0,0
19700108,0,0
19700109,132,13.2
19700110,0,0
19700111,0,0
19700112,0,0
19700113,0,0
19700114,0,0
19700115,0,0
19700116,0,0
19700117,0,0
19700118,0,0
19700119,38,3.8
19700120,0,0
19700121,53,5.3
19700122,0,0
19700123,0,0
19700124,0,0
19700125,385,38.5
19700126,194,19.4
19700127,0,0
19700128,0,0
19700129,0,0
19700130,0,0
19700131,0,0
19700201,34,3.4
19700202,0,0
19700203,0,0
19700204,0,0
19700205,0,0
19700206,0,0
19700207,0,0
19700208,0,0
19700209,0,0
19700210,0,0
19700211,0,0
19700212,0,0
19700213,0,0
19700214,105,10.5
19700215,72,7.2
19700216,90,9
19700217,0,0
19700218,53,5.3
19700219,87,8.7
19700220,0,0
19700221,0,0
19700222,0,0
19700223,0,0
19700224,0,0
19700225,126,12.6
19700226,198,19.8
19700227,243,24.3
19700228,0,0
19700301,0,0
19700302,0,0
19700303,85,8.5
19700304,0,0
19700305,182,18.2
19700306,123,12.3
19700307,0,0
19700308,0,0
19700309,0,0
19700310,0,0
19700311,0,0
19700312,0,0
19700313,0,0
19700314,0,0
19700315,178,17.8
19700316,223,22.3
19700317,100,10
19700318,0,0
19700319,72,7.2
19700320,0,0
19700321,0,0
19700322,0,0
19700323,133,13.3
19700324,0,0
19700325,0,0
19700326,30,3
19700327,90,9
19700328,0,0
19700329,0,0
19700330,0,0
19700331,0,0
19700401,0,0
19700402,0,0
19700403,0,0
19700404,0,0
19700405,75,7.5
19700406,0,0
19700407,0,0
19700408,0,0
19700409,24,2.4
19700410,0,0
19700411,0,0
19700412,34,3.4
19700413,0,0
19700414,0,0
19700415,0,0
19700416,0,0
19700417,0,0
19700418,0,0
19700419,0,0
19700420,0,0
19700421,118,11.8
19700422,0,0
19700423,0,0
19700424,0,0
19700425,0,0
19700426,0,0
19700427,0,0
19700428,135,13.5
19700429,453,45.3
19700430,20,2
19700501,0,0
19700502,0,0
19700503,0,0
19700504,0,0
19700505,0,0
19700506,0,0
19700507,150,15
19700508,0,0
19700509,0,0
19700510,0,0
19700511,0,0
19700512,0,0
19700513,0,0
19700514,0,0
19700515,0,0
19700516,496,49.6
19700517,94,9.4
19700518,72,7.2
19700519,0,0
19700520,0,0
19700521,0,0
19700522,0,0
19700523,0,0
19700524,0,0
19700525,0,0
19700526,0,0
19700527,0,0
19700528,0,0
19700529,0,0
19700530,0,0
19700531,0,0
19700601,0,0
19700602,0,0
19700603,0,0
19700604,0,0
19700605,0,0
19700606,0,0
19700607,40,4
19700608,96,9.6
19700609,0,0
19700610,0,0
19700611,0,0
19700612,0,0
19700613,70,7
19700614,143,14.3
19700615,108,10.8
19700616,62,6.2
19700617,24,2.4
19700618,167,16.7
19700619,0,0
19700620,0,0
19700621,0,0
19700622,0,0
19700623,37,3.7
19700624,0,0
19700625,0,0
19700626,0,0
19700627,0,0
19700628,89,8.9
19700629,0,0
19700630,0,0
19700701,0,0
19700702,0,0
19700703,0,0
19700704,0,0
19700705,0,0
19700706,0,0
19700707,0,0
19700708,0,0
19700709,0,0
19700710,0,0
19700711,0,0
19700712,0,0
19700713,760,76
19700714,96,9.6
19700715,0,0
19700716,0,0
19700717,0,0
19700718,0,0
19700719,0,0
19700720,0,0
19700721,0,0
19700722,0,0
19700723,0,0
19700724,0,0
19700725,0,0
19700726,0,0
19700727,0,0
19700728,0,0
19700729,0,0
19700730,0,0
19700731,0,0
19700801,0,0
19700802,0,0
19700803,590,59
19700804,0,0
19700805,200,20
19700806,26,2.6
19700807,0,0
19700808,0,0
19700809,0,0
19700810,0,0
19700811,0,0
19700812,0,0
19700813,0,0
19700814,0,0
19700815,0,0
19700816,0,0
19700817,0,0
19700818,0,0
19700819,0,0
19700820,0,0
19700821,0,0
19700822,0,0
19700823,0,0
19700824,24,2.4
19700825,0,0
19700826,0,0
19700827,150,15
19700828,74,7.4
19700829,0,0
19700830,0,0
19700831,0,0
19700901,0,0
19700902,0,0
19700903,0,0
19700904,0,0
19700905,0,0
19700906,0,0
19700907,0,0
19700908,0,0
19700909,0,0
19700910,0,0
19700911,600,60
19700912,0,0
19700913,0,0
19700914,0,0
19700915,0,0
19700916,0,0
19700917,0,0
19700918,0,0
19700919,0,0
19700920,0,0
19700921,0,0
19700922,0,0
19700923,0,0
19700924,0,0
19700925,0,0
19700926,0,0
19700927,0,0
19700928,0,0
19700929,0,0
19700930,0,0
19701001,0,0
19701002,0,0
19701003,0,0
19701004,0,0
19701005,0,0
19701006,0,0
19701007,110,11
19701008,0,0
19701009,0,0
19701010,0,0
19701011,0,0
19701012,0,0
19701013,0,0
19701014,0,0
19701015,0,0
19701016,0,0
19701017,0,0
19701018,0,0
19701019,0,0
19701020,0,0
19701021,650,65
19701022,198,19.8
19701023,0,0
19701024,0,0
19701025,0,0
19701026,0,0
19701027,0,0
19701028,0,0
19701029,0,0
19701030,0,0
19701031,0,0
19701101,0,0
19701102,0,0
19701103,0,0
19701104,0,0
19701105,0,0
19701106,0,0
19701107,0,0
19701108,47,4.7
19701109,0,0
19701110,0,0
19701111,0,0
19701112,0,0
19701113,32,3.2
19701114,0,0
19701115,394,39.4
19701116,134,13.4
19701117,0,0
19701118,0,0
19701119,47,4.7
19701120,29,2.9
19701121,144,14.4
19701122,0,0
