YYYYMMDD,1021,Pday_mm
19700101,46,4.6
19700102,12,1.2
19700103,0,0
19700104,15,1.5
19700105,41,4.1
19700106,48,4.8
19700107,0,0
19700108,0,0
19700109,0,0
19700110,0,0
19700111,37,3.7
19700112,52,5.2
19700113,10,1
19700114,0,0
19700115,0,0
19700116,193,19.3
19700117,347,34.7
19700118,2,0.2
19700119,39,3.9
19700120,0,0
19700121,164,16.4
19700122,0,0
19700123,18,1.8
19700124,11,1.1
19700125,0,0
19700126,334,33.4
19700127,366,36.6
19700128,0,0
19700129,9,0.9
19700130,98,9.8
19700131,282,28.2
19700201,38,3.8
19700202,788,78.8
19700203,0,0
19700204,0,0
19700205,78,7.8
19700206,39,3.9
19700207,0,0
19700208,0,0
19700209,0,0
19700210,128,12.8
19700211,31,3.1
19700212,81,8.1
19700213,94,9.4
19700214,145,14.5
19700215,304,30.4
19700216,205,20.5
19700217,247,24.7
19700218,266,26.6
19700219,226,22.6
19700220,0,0
19700221,265,26.5
19700222,13,1.3
19700223,19,1.9
19700224,175,17.5
19700225,165,16.5
19700226,444,44.4
19700227,178,17.8
19700228,2,0.2
19700301,0,0
19700302,0,0
19700303,235,23.5
19700304,94,9.4
19700305,282,28.2
19700306,22,2.2
19700307,11,1.1
19700308,105,10.5
19700309,112,11.2
19700310,0,0
19700311,135,13.5
19700312,0,0
19700313,22,2.2
19700314,0,0
19700315,12,1.2
19700316,152,15.2
19700317,9,0.9
19700318,6,0.6
19700319,973,97.3
19700320,541,54.1
19700321,12,1.2
19700322,104,10.4
19700323,45,4.5
19700324,0,0
19700325,0,0
19700326,16,1.6
19700327,245,24.5
19700328,25,2.5
19700329,3,0.3
19700330,0,0
19700331,3,0.3
19700401,77,7.7
19700402,213,21.3
19700403,55,5.5
19700404,77,7.7
19700405,215,21.5
19700406,0,0
19700407,0,0
19700408,41,4.1
19700409,132,13.2
19700410,145,14.5
19700411,45,4.5
19700412,62,6.2
19700413,19,1.9
19700414,2,0.2
19700415,0,0
19700416,0,0
19700417,0,0
19700418,0,0
19700419,25,2.5
19700420,228,22.8
19700421,86,8.6
19700422,91,9.1
19700423,0,0
19700424,5,0.5
19700425,1,0.1
19700426,182,18.2
19700427,211,21.1
19700428,388,38.8
19700429,364,36.4
19700430,533,53.3
19700501,48,4.8
19700502,56,5.6
19700503,0,0
19700504,38,3.8
19700505,43,4.3
19700506,9,0.9
19700507,458,45.8
19700508,75,7.5
19700509,0,0
19700510,18,1.8
19700511,0,0
19700512,6,0.6
19700513,8,0.8
19700514,0,0
19700515,59,5.9
19700516,174,17.4
19700517,347,34.7
19700518,462,46.2
19700519,3,0.3
19700520,0,0
19700521,22,2.2
19700522,39,3.9
19700523,0,0
19700524,0,0
19700525,0,0
19700526,0,0
19700527,0,0
19700528,0,0
19700529,0,0
19700530,5,0.5
19700531,0,0
19700601,0,0
19700602,0,0
19700603,0,0
19700604,0,0
19700605,17,1.7
19700606,15,1.5
19700607,0,0
19700608,0,0
19700609,125,12.5
19700610,0,0
19700611,0,0
19700612,46,4.6
19700613,31,3.1
19700614,313,31.3
19700615,0,0
19700616,103,10.3
19700617,0,0
19700618,85,8.5
19700619,28,2.8
19700620,160,16
19700621,0,0
19700622,0,0
19700623,185,18.5
19700624,4,0.4
19700625,4,0.4
19700626,0,0
19700627,1,0.1
19700628,72,7.2
19700629,35,3.5
19700630,20,2
19700701,0,0
19700702,126,12.6
19700703,34,3.4
19700704,2,0.2
19700705,0,0
19700706,0,0
19700707,6,0.6
19700708,0,0
19700709,132,13.2
19700710,3,0.3
19700711,0,0
19700712,0,0
19700713,0,0
19700714,78,7.8
19700715,106,10.6
19700716,85,8.5
19700717,0,0
19700718,0,0
19700719,0,0
19700720,0,0
19700721,23,2.3
19700722,0,0
19700723,0,0
19700724,0,0
19700725,32,3.2
19700726,0,0
19700727,0,0
19700728,0,0
19700729,53,5.3
19700730,46,4.6
19700731,0,0
19700801,0,0
19700802,0,0
19700803,50,5
19700804,3,0.3
19700805,272,27.2
19700806,695,69.5
19700807,5,0.5
19700808,0,0
19700809,98,9.8
19700810,60,6
19700811,9,0.9
19700812,0,0
19700813,5,0.5
19700814,4,0.4
19700815,2,0.2
19700816,0,0
19700817,48,4.8
19700818,2,0.2
19700819,5,0.5
19700820,47,4.7
19700821,62,6.2
19700822,74,7.4
19700823,38,3.8
19700824,65,6.5
19700825,0,0
19700826,0,0
19700827,0,0
19700828,0,0
19700829,83,8.3
19700830,3,0.3
19700831,2,0.2
19700901,0,0
19700902,0,0
19700903,0,0
19700904,11,1.1
19700905,0,0
19700906,0,0
19700907,0,0
19700908,0,0
19700909,9,0.9
19700910,8,0.8
19700911,372,37.2
19700912,0,0
19700913,35,3.5
19700914,12,1.2
19700915,0,0
19700916,8,0.8
19700917,17,1.7
19700918,0,0
19700919,0,0
19700920,0,0
19700921,0,0
19700922,0,0
19700923,0,0
19700924,0,0
19700925,0,0
19700926,0,0
19700927,0,0
19700928,0,0
19700929,0,0
19700930,4,0.4
19701001,42,4.2
19701002,615,61.5
19701003,281,28.1
19701004,64,6.4
19701005,0,0
19701006,0,0
19701007,95,9.5
19701008,0,0
19701009,154,15.4
19701010,62,6.2
19701011,14,1.4
19701012,0,0
19701013,0,0
19701014,0,0
19701015,0,0
19701016,0,0
19701017,0,0
19701018,0,0
19701019,0,0
19701020,108,10.8
19701021,596,59.6
19701022,162,16.2
19701023,0,0
19701024,0,0
19701025,0,0
19701026,0,0
19701027,0,0
19701028,0,0
19701029,0,0
19701030,0,0
19701031,0,0
19701101,0,0
19701102,0,0
19701103,0,0
19701104,0,0
19701105,0,0
19701106,66,6.6
19701107,32,3.2
19701108,234,23.4
19701109,0,0
19701110,54,5.4
19701111,0,0
19701112,0,0
19701113,140,14
19701114,7,0.7
19701115,352,35.2
19701116,142,14.2
19701117,451,45.1
19701118,0,0
19701119,116,11.6
19701120,19,1.9
19701121,198,19.8
19701122,3,0.3
19701123,0,0
19701124,0,0
19701125,0,0
19701126,0,0
19701127,0,0
19701128,0,0
19701129,0,0
19701130,128,12.8
19701201,1,0.1
19701202,98,9.8
19701203,3,0.3
19701204,0,0
19701205,0,0
19701206,0,0
19701207,58,5.8
19701208,71,7.1
19701209,0,0
19701210,35,3.5
19701211,0,0
19701212,32,3.2
19701213,58,5.8
19701214,485,48.5
19701215,0,0
19701216,0,0
19701217,0,0
19701218,0,0
19701219,0,0
19701220,0,0
19701221,0,0
19701222,0,0
19701223,0,0
19701224,0,0
19701225,0,0
19701226,0,0
19701227,42,4.2
19701228,0,0
19701229,0,0
19701230,0,0
19701231,105,10.5
19710101,29,2.9
19710102,26,2.6
19710103,0,0
19710104,0,0
19710105,25,2.5
19710106,225,22.5
19710107,0,0
19710108,0,0
19710109,0,0
19710110,0,0
19710111,0,0
19710112,0,0
19710113,0,0
19710114,0,0
19710115,28,2.8
19710116,274,27.4
19710117,0,0
19710118,138,13.8
19710119,233,23.3
19710120,262,26.2
19710121,68,6.8
19710122,115,11.5
19710123,212,21.2
19710124,174,17.4
19710125,185,18.5
19710126,0,0
19710127,0,0
19710128,3,0.3
19710129,0,0
19710130,0,0
19710131,132,13.2
19710201,232,23.2
19710202,368,36.8
19710203,0,0
19710204,0,0
19710205,0,0
19710206,0,0
19710207,0,0
19710208,0,0
19710209,0,0
19710210,0,0
19710211,0,0
19710212,0,0
19710213,0,0
19710214,112,11.2
19710215,54,5.4
19710216,317,31.7
19710217,582,58.2
19710218,535,53.5
19710219,385,38.5
19710220,968,96.8
19710221,16,1.6
19710222,43,4.3
19710223,0,0
19710224,0,0
19710225,0,0
19710226,0,0
19710227,0,0
19710228,248,24.8
19710301,504,50.4
19710302,0,0
19710303,52,5.2
19710304,65,6.5
19710305,0,0
19710306,0,0
19710307,0,0
19710308,0,0
19710309,0,0
19710310,0,0
19710311,15,1.5
19710312,0,0
19710313,0,0
19710314,0,0
19710315,85,8.5
19710316,73,7.3
19710317,151,15.1
19710318,0,0
19710319,104,10.4
19710320,127,12.7
19710321,412,41.2
19710322,868,86.8
19710323,456,45.6
19710324,0,0
19710325,0,0
19710326,53,5.3
19710327,452,45.2
19710328,318,31.8
19710329,0,0
19710330,0,0
19710331,0,0
19710401,0,0
19710402,0,0
19710403,113,11.3
19710404,132,13.2
19710405,58,5.8
19710406,136,13.6
19710407,22,2.2
19710408,0,0
19710409,0,0
19710410,0,0
19710411,3,0.3
19710412,0,0
19710413,0,0
19710414,10,1
19710415,59,5.9
19710416,0,0
19710417,228,22.8
19710418,19,1.9
19710419,0,0
19710420,0,0
19710421,0,0
19710422,27,2.7
19710423,629,62.9
19710424,676,67.6
19710425,114,11.4
19710426,0,0
19710427,168,16.8
19710428,98,9.8
19710429,24,2.4
19710430,0,0
19710501,82,8.2
19710502,525,52.5
19710503,192,19.2
19710504,0,0
19710505,0,0
19710506,31,3.1
19710507,0,0
19710508,6,0.6
19710509,48,4.8
19710510,25,2.5
19710511,2,0.2
19710512,0,0
19710513,2,0.2
19710514,61,6.1
19710515,0,0
19710516,34,3.4
19710517,35,3.5
19710518,323,32.3
19710519,19,1.9
19710520,236,23.6
19710521,203,20.3
19710522,138,13.8
19710523,242,24.2
19710524,145,14.5
19710525,135,13.5
19710526,18,1.8
19710527,435,43.5
19710528,445,44.5
19710529,26,2.6
19710530,42,4.2
19710531,4,0.4
19710601,3,0.3
19710602,0,0
19710603,52,5.2
19710604,0,0
19710605,17,1.7
19710606,175,17.5
19710607,26,2.6
19710608,12,1.2
19710609,26,2.6
19710610,87,8.7
19710611,198,19.8
19710612,22,2.2
19710613,0,0
19710614,205,20.5
19710615,125,12.5
19710616,48,4.8
19710617,0,0
19710618,2,0.2
19710619,0,0
19710620,0,0
19710621,1,0.1
19710622,3,0.3
19710623,2,0.2
19710624,36,3.6
19710625,3,0.3
19710626,73,7.3
19710627,82,8.2
19710628,0,0
19710629,3,0.3
19710630,0,0
19710701,8,0.8
19710702,0,0
19710703,0,0
19710704,52,5.2
19710705,46,4.6
19710706,5,0.5
19710707,4,0.4
19710708,0,0
19710709,0,0
19710710,0,0
19710711,0,0
19710712,14,1.4
19710713,0,0
19710714,0,0
19710715,0,0
19710716,0,0
19710717,0,0
19710718,36,3.6
19710719,90,9
19710720,0,0
19710721,0,0
19710722,0,0
19710723,39,3.9
19710724,12,1.2
19710725,11,1.1
19710726,3,0.3
19710727,285,28.5
19710728,94,9.4
19710729,0,0
19710730,0,0
19710731,0,0
19710801,0,0
19710802,0,0
19710803,0,0
19710804,0,0
19710805,0,0
19710806,0,0
19710807,150,15
19710808,0,0
19710809,0,0
19710810,0,0
19710811,45,4.5
19710812,2,0.2
19710813,0,0
19710814,0,0
19710815,0,0
19710816,0,0
19710817,0,0
19710818,23,2.3
19710819,0,0
19710820,128,12.8
19710821,456,45.6
19710822,152,15.2
19710823,8,0.8
19710824,2,0.2
19710825,15,1.5
19710826,0,0
19710827,0,0
19710828,0,0
19710829,0,0
19710830,28,2.8
19710831,266,26.6
19710901,1,0.1
19710902,0,0
19710903,0,0
19710904,0,0
19710905,0,0
19710906,0,0
19710907,0,0
19710908,0,0
19710909,0,0
19710910,55,5.5
19710911,42,4.2
19710912,53,5.3
19710913,224,22.4
19710914,140,14
19710915,0,0
19710916,0,0
19710917,0,0
19710918,0,0
19710919,30,3
19710920,4,0.4
19710921,2,0.2
19710922,719,71.9
19710923,74,7.4
19710924,18,1.8
19710925,0,0
19710926,0,0
19710927,0,0
19710928,30,3
19710929,138,13.8
19710930,3,0.3
19711001,0,0
19711002,0,0
19711003,0,0
19711004,13,1.3
19711005,151,15.1
19711006,0,0
19711007,0,0
19711008,0,0
19711009,0,0
19711010,79,7.9
19711011,22,2.2
19711012,0,0
19711013,62,6.2
19711014,232,23.2
19711015,135,13.5
19711016,0,0
19711017,9,0.9
19711018,67,6.7
19711019,0,0
19711020,0,0
19711021,0,0
19711022,0,0
19711023,0,0
19711024,0,0
19711025,0,0
19711026,0,0
19711027,0,0
19711028,0,0
19711029,14,1.4
19711030,67,6.7
19711031,0,0
19711101,0,0
19711102,0,0
19711103,0,0
19711104,0,0
19711105,0,0
19711106,176,17.6
19711107,84,8.4
19711108,8,0.8
19711109,396,39.6
19711110,26,2.6
19711111,65,6.5
19711112,9,0.9
19711113,48,4.8
19711114,184,18.4
19711115,105,10.5
19711116,0,0
19711117,0,0
19711118,8,0.8
19711119,156,15.6
19711120,278,27.8
19711121,21,2.1
19711122,874,87.4
19711123,302,30.2
19711124,835,83.5
19711125,42,4.2
19711126,0,0
19711127,55,5.5
19711128,75,7.5
19711129,432,43.2
19711130,192,19.2
19711201,343,34.3
19711202,655,65.5
19711203,553,55.3
19711204,0,0
19711205,0,0
19711206,0,0
19711207,0,0
19711208,12,1.2
19711209,0,0
19711210,0,0
19711211,0,0
19711212,0,0
19711213,0,0
19711214,0,0
19711215,0,0
19711216,0,0
19711217,0,0
19711218,0,0
19711219,0,0
19711220,1,0.1
19711221,0,0
19711222,0,0
19711223,0,0
19711224,146,14.6
19711225,2,0.2
19711226,0,0
19711227,0,0
19711228,19,1.9
19711229,0,0
19711230,32,3.2
19711231,326,32.6
19720101,72,7.2
19720102,43,4.3
19720103,317,31.7
19720104,19,1.9
19720105,0,0
19720106,0,0
19720107,0,0
19720108,0,0
19720109,5,0.5
19720110,122,12.2
19720111,0,0
19720112,48,4.8
19720113,86,8.6
19720114,121,12.1
19720115,5,0.5
19720116,0,0
19720117,42,4.2
19720118,857,85.7
19720119,251,25.1
19720120,44,4.4
19720121,392,39.2
19720122,178,17.8
19720123,0,0
19720124,0,0
19720125,253,25.3
19720126,762,76.2
19720127,812,81.2
19720128,265,26.5
19720129,342,34.2
19720130,0,0
19720131,0,0
19720201,0,0
19720202,61,6.1
19720203,0,0
19720204,22,2.2
19720205,29,2.9
19720206,0,0
19720207,55,5.5
19720208,78,7.8
19720209,149,14.9
19720210,55,5.5
19720211,446,44.6
19720212,294,29.4
19720213,3,0.3
19720214,176,17.6
19720215,29,2.9
19720216,0,0
19720217,122,12.2
19720218,164,16.4
19720219,65,6.5
19720220,335,33.5
19720221,79,7.9
19720222,0,0
19720223,0,0
19720224,0,0
19720225,0,0
19720226,0,0
19720227,98,9.8
19720228,12,1.2
19720229,0,0
19720301,96,9.6
19720302,352,35.2
19720303,18,1.8
19720304,185,18.5
19720305,142,14.2
19720306,174,17.4
19720307,322,32.2
19720308,8,0.8
19720309,0,0
19720310,57,5.7
19720311,15,1.5
19720312,7,0.7
19720313,0,0
19720314,0,0
19720315,35,3.5
19720316,70,7
19720317,0,0
19720318,0,0
19720319,0,0
19720320,0,0
19720321,11,1.1
19720322,0,0
19720323,0,0
19720324,0,0
19720325,0,0
19720326,138,13.8
19720327,176,17.6
19720328,0,0
19720329,0,0
19720330,0,0
19720331,1,0.1
19720401,274,27.4
19720402,113,11.3
19720403,0,0
19720404,0,0
19720405,202,20.2
19720406,45,4.5
19720407,0,0
19720408,91,9.1
19720409,54,5.4
19720410,432,43.2
19720411,448,44.8
19720412,629,62.9
19720413,115,11.5
19720414,23,2.3
19720415,684,68.4
19720416,62,6.2
19720417,0,0
19720418,0,0
19720419,136,13.6
19720420,216,21.6
19720421,213,21.3
19720422,245,24.5
19720423,122,12.2
19720424,0,0
19720425,39,3.9
19720426,0,0
19720427,0,0
19720428,0,0
19720429,21,2.1
19720430,0,0
19720501,12,1.2
19720502,343,34.3
19720503,77,7.7
19720504,105,10.5
19720505,22,2.2
19720506,0,0
19720507,0,0
19720508,0,0
19720509,37,3.7
19720510,0,0
19720511,0,0
19720512,152,15.2
19720513,146,14.6
19720514,646,64.6
19720515,603,60.3
19720516,745,74.5
19720517,77,7.7
19720518,67,6.7
19720519,0,0
19720520,175,17.5
19720521,0,0
19720522,36,3.6
19720523,183,18.3
19720524,0,0
19720525,0,0
19720526,0,0
19720527,12,1.2
19720528,21,2.1
19720529,0,0
19720530,0,0
19720531,0,0
19720601,0,0
19720602,0,0
19720603,0,0
19720604,0,0
19720605,82,8.2
19720606,113,11.3
19720607,25,2.5
19720608,13,1.3
19720609,0,0
19720610,79,7.9
19720611,112,11.2
19720612,15,1.5
19720613,1,0.1
19720614,82,8.2
19720615,137,13.7
19720616,88,8.8
19720617,0,0
19720618,0,0
19720619,0,0
19720620,0,0
19720621,0,0
19720622,0,0
19720623,0,0
19720624,0,0
19720625,0,0
19720626,26,2.6
19720627,43,4.3
19720628,24,2.4
19720629,0,0
19720630,39,3.9
19720701,0,0
19720702,32,3.2
19720703,0,0
19720704,0,0
19720705,25,2.5
19720706,22,2.2
19720707,40,4
19720708,0,0
19720709,72,7.2
19720710,230,23
19720711,0,0
19720712,0,0
19720713,0,0
19720714,0,0
19720715,0,0
19720716,0,0
19720717,0,0
19720718,2,0.2
19720719,3,0.3
19720720,2,0.2
19720721,0,0
19720722,13,1.3
19720723,0,0
19720724,0,0
19720725,0,0
19720726,0,0
19720727,0,0
19720728,0,0
19720729,0,0
19720730,0,0
19720731,0,0
19720801,45,4.5
19720802,88,8.8
19720803,86,8.6
19720804,27,2.7
19720805,0,0
19720806,0,0
19720807,0,0
19720808,0,0
19720809,6,0.6
19720810,25,2.5
19720811,360,36
19720812,454,45.4
19720813,148,14.8
19720814,225,22.5
19720815,68,6.8
19720816,27,2.7
19720817,18,1.8
19720818,0,0
19720819,77,7.7
19720820,0,0
19720821,0,0
19720822,0,0
19720823,0,0
19720824,0,0
19720825,18,1.8
19720826,23,2.3
19720827,8,0.8
19720828,57,5.7
19720829,0,0
19720830,17,1.7
19720831,268,26.8
19720901,0,0
19720902,10,1
19720903,0,0
19720904,0,0
19720905,0,0
19720906,10,1
19720907,50,5
19720908,250,25
19720909,0,0
19720910,133,13.3
19720911,125,12.5
19720912,0,0
19720913,0,0
19720914,3,0.3
19720915,260,26
19720916,4,0.4
19720917,0,0
19720918,0,0
19720919,10,1
19720920,2,0.2
19720921,140,14
19720922,70,7
19720923,70,7
19720924,0,0
19720925,0,0
19720926,0,0
19720927,0,0
19720928,0,0
19720929,0,0
19720930,0,0
19721001,-9999,NA
19721002,-9999,NA
19721003,-9999,NA
19721004,-9999,NA
19721005,-9999,NA
19721006,-9999,NA
19721007,-9999,NA
19721008,-9999,NA
19721009,-9999,NA
19721010,-9999,NA
19721011,-9999,NA
19721012,-9999,NA
19721013,-9999,NA
19721014,-9999,NA
19721015,-9999,NA
19721016,-9999,NA
19721017,-9999,NA
19721018,-9999,NA
19721019,-9999,NA
19721020,-9999,NA
19721021,-9999,NA
19721022,-9999,NA
19721023,-9999,NA
19721024,-9999,NA
19721025,-9999,NA
19721026,-9999,NA
19721027,-9999,NA
19721028,-9999,NA
19721029,-9999,NA
19721030,-9999,NA
19721031,-9999,NA
19721101,0,0
19721102,22,2.2
19721103,78,7.8
19721104,10,1
19721105,0,0
19721106,0,0
19721107,0,0
19721108,0,0
19721109,8,0.8
19721110,0,0
19721111,112,11.2
19721112,213,21.3
19721113,0,0
19721114,0,0
19721115,60,6
19721116,0,0
19721117,0,0
19721118,262,26.2
19721119,32,3.2
19721120,80,8
19721121,100,10
19721122,0,0
19721123,0,0
19721124,30,3
19721125,0,0
19721126,0,0
19721127,0,0
19721128,0,0
19721129,125,12.5
19721130,12,1.2
