YYYYMMDD, C072, G072,Pday_mm
20010101,-9999,15,1.5
20010102,-9999,1,0.1
20010103,-9999,0,0
20010104,-9999,5,0.5
20010105,-9999,22,2.2
20010106,-9999,187,18.7
20010107,-9999,7,0.7
20010108,-9999,94,9.4
20010109,-9999,2,0.2
20010110,-9999,4,0.4
20010111,-9999,44,4.4
20010112,-9999,0,0
20010113,-9999,1,0.1
20010114,-9999,45,4.5
20010115,-9999,9,0.9
20010116,-9999,8,0.8
20010117,-9999,2,0.2
20010118,-9999,15,1.5
20010119,-9999,21,2.1
20010120,-9999,7,0.7
20010121,-9999,0,0
20010122,-9999,0,0
20010123,-9999,0,0
20010124,-9999,36,3.6
20010125,-9999,1,0.1
20010126,-9999,48,4.8
20010127,-9999,35,3.5
20010128,-9999,289,28.9
20010129,-9999,101,10.1
20010130,-9999,92,9.2
20010131,-9999,291,29.1
20010201,-9999,72,7.2
20010202,-9999,2,0.2
20010203,-9999,0,0
20010204,-9999,0,0
20010205,-9999,0,0
20010206,-9999,1,0.1
20010207,-9999,0,0
20010208,-9999,14,1.4
20010209,-9999,8,0.8
20010210,-9999,48,4.8
20010211,-9999,1,0.1
20010212,-9999,10,1
20010213,-9999,25,2.5
20010214,-9999,111,11.1
20010215,-9999,2,0.2
20010216,-9999,0,0
20010217,-9999,0,0
20010218,-9999,0,0
20010219,-9999,12,1.2
20010220,-9999,1,0.1
20010221,-9999,0,0
20010222,-9999,0,0
20010223,-9999,6,0.6
20010224,-9999,81,8.1
20010225,-9999,13,1.3
20010226,-9999,87,8.7
20010227,-9999,1,0.1
20010228,-9999,55,5.5
20010301,-9999,42,4.2
20010302,-9999,76,7.6
20010303,-9999,11,1.1
20010304,-9999,139,13.9
20010305,-9999,0,0
20010306,-9999,0,0
20010307,-9999,0,0
20010308,-9999,18,1.8
20010309,-9999,24,2.4
20010310,-9999,81,8.1
20010311,-9999,1,0.1
20010312,-9999,83,8.3
20010313,-9999,0,0
20010314,-9999,0,0
20010315,-9999,0,0
20010316,-9999,1,0.1
20010317,-9999,6,0.6
20010318,-9999,0,0
20010319,-9999,5,0.5
20010320,-9999,1,0.1
20010321,-9999,1,0.1
20010322,-9999,1,0.1
20010323,-9999,0,0
20010324,-9999,13,1.3
20010325,-9999,5,0.5
20010326,-9999,0,0
20010327,-9999,2,0.2
20010328,-9999,2,0.2
20010329,-9999,133,13.3
20010330,-9999,62,6.2
20010331,-9999,21,2.1
20010401,-9999,0,0
20010402,-9999,1,0.1
20010403,-9999,0,0
20010404,-9999,16,1.6
20010405,-9999,1,0.1
20010406,-9999,12,1.2
20010407,-9999,41,4.1
20010408,-9999,92,9.2
20010409,-9999,0,0
20010410,-9999,34,3.4
20010411,-9999,28,2.8
20010412,-9999,1,0.1
20010413,-9999,0,0
20010414,-9999,0,0
20010415,-9999,0,0
20010416,-9999,7,0.7
20010417,-9999,0,0
