YYYYMMDD,1060,TmaxDay_C
19700101,105,10.5
19700102,90,9
19700103,115,11.5
19700104,180,18
19700105,125,12.5
19700106,115,11.5
19700107,100,10
19700108,150,15
19700109,180,18
19700110,155,15.5
19700111,140,14
19700112,165,16.5
19700113,170,17
19700114,190,19
19700115,160,16
19700116,120,12
19700117,160,16
19700118,170,17
19700119,180,18
19700120,165,16.5
19700121,120,12
19700122,140,14
19700123,190,19
19700124,165,16.5
19700125,130,13
19700126,115,11.5
19700127,125,12.5
19700128,150,15
19700129,160,16
19700130,140,14
19700131,155,15.5
19700201,125,12.5
19700202,140,14
19700203,175,17.5
19700204,140,14
19700205,160,16
19700206,135,13.5
19700207,170,17
19700208,120,12
19700209,115,11.5
19700210,160,16
19700211,155,15.5
19700212,165,16.5
19700213,135,13.5
19700214,125,12.5
19700215,55,5.5
19700216,95,9.5
19700217,105,10.5
19700218,130,13
19700219,120,12
19700220,140,14
19700221,170,17
19700222,130,13
19700223,150,15
19700224,160,16
19700225,120,12
19700226,110,11
19700227,100,10
19700228,120,12
19700301,110,11
19700302,100,10
19700303,105,10.5
19700304,120,12
19700305,110,11
19700306,125,12.5
19700307,140,14
19700308,110,11
19700309,130,13
19700310,110,11
19700311,115,11.5
19700312,140,14
19700313,120,12
19700314,130,13
19700315,120,12
19700316,100,10
19700317,110,11
19700318,165,16.5
19700319,150,15
19700320,180,18
19700321,190,19
19700322,220,22
19700323,160,16
19700324,140,14
19700325,170,17
19700326,120,12
19700327,125,12.5
19700328,110,11
19700329,160,16
19700330,175,17.5
19700331,180,18
19700401,195,19.5
19700402,150,15
19700403,160,16
19700404,130,13
19700405,160,16
19700406,155,15.5
19700407,135,13.5
19700408,125,12.5
19700409,165,16.5
19700410,170,17
19700411,190,19
19700412,200,20
19700413,210,21
19700414,190,19
19700415,250,25
19700416,290,29
19700417,265,26.5
19700418,270,27
19700419,185,18.5
19700420,165,16.5
19700421,250,25
19700422,235,23.5
19700423,220,22
19700424,205,20.5
19700425,220,22
19700426,195,19.5
19700427,215,21.5
19700428,175,17.5
19700429,160,16
19700430,195,19.5
19700501,200,20
19700502,245,24.5
19700503,250,25
19700504,280,28
19700505,265,26.5
19700506,240,24
19700507,200,20
19700508,165,16.5
19700509,185,18.5
19700510,215,21.5
19700511,190,19
19700512,205,20.5
19700513,245,24.5
19700514,280,28
19700515,230,23
19700516,160,16
19700517,150,15
19700518,180,18
19700519,220,22
19700520,230,23
19700521,210,21
19700522,225,22.5
19700523,215,21.5
19700524,320,32
19700525,240,24
19700526,245,24.5
19700527,250,25
19700528,265,26.5
19700529,210,21
19700530,190,19
19700531,260,26
19700601,270,27
19700602,300,30
19700603,320,32
19700604,325,32.5
19700605,280,28
19700606,245,24.5
19700607,220,22
19700608,250,25
19700609,305,30.5
19700610,295,29.5
19700611,270,27
19700612,290,29
19700613,250,25
19700614,275,27.5
19700615,260,26
19700616,275,27.5
19700617,250,25
19700618,225,22.5
19700619,240,24
19700620,270,27
19700621,310,31
19700622,260,26
19700623,240,24
19700624,275,27.5
19700625,290,29
19700626,340,34
19700627,250,25
19700628,240,24
19700629,265,26.5
19700630,275,27.5
19700701,265,26.5
19700702,280,28
19700703,295,29.5
19700704,275,27.5
19700705,330,33
19700706,380,38
19700707,300,30
19700708,295,29.5
19700709,270,27
19700710,305,30.5
19700711,225,22.5
19700712,305,30.5
19700713,355,35.5
19700714,260,26
19700715,240,24
19700716,225,22.5
19700717,250,25
19700718,270,27
19700719,250,25
19700720,220,22
19700721,245,24.5
19700722,275,27.5
19700723,290,29
