YYYYMMDD,1021,TmaxDay_C
19700101,40,4
19700102,65,6.5
19700103,110,11
19700104,160,16
19700105,80,8
19700106,40,4
19700107,120,12
19700108,180,18
19700109,170,17
19700110,150,15
19700111,135,13.5
19700112,110,11
19700113,150,15
19700114,100,10
19700115,80,8
19700116,125,12.5
19700117,140,14
19700118,180,18
19700119,130,13
19700120,130,13
19700121,119,11.9
19700122,140,14
19700123,119,11.9
19700124,120,12
19700125,140,14
19700126,60,6
19700127,90,9
19700128,130,13
19700129,150,15
19700130,109,10.9
19700131,100,10
19700201,120,12
19700202,135,13.5
19700203,130,13
19700204,145,14.5
19700205,110,11
19700206,120,12
19700207,110,11
19700208,102,10.2
19700209,110,11
19700210,110,11
19700211,114,11.4
19700212,126,12.6
19700213,100,10
19700214,49,4.9
19700215,10,1
19700216,70,7
19700217,110,11
19700218,80,8
19700219,104,10.4
19700220,110,11
19700221,110,11
19700222,145,14.5
19700223,110,11
19700224,95,9.5
19700225,65,6.5
19700226,40,4
19700227,40,4
19700228,40,4
19700301,15,1.5
19700302,50,5
19700303,32,3.2
19700304,68,6.8
19700305,69,6.9
19700306,70,7
19700307,110,11
19700308,65,6.5
19700309,87,8.7
19700310,61,6.1
19700311,80,8
19700312,110,11
19700313,110,11
19700314,90,9
19700315,40,4
19700316,70,7
19700317,80,8
19700318,110,11
19700319,111,11.1
19700320,130,13
19700321,220,22
19700322,115,11.5
19700323,135,13.5
19700324,155,15.5
19700325,120,12
19700326,90,9
19700327,89,8.9
19700328,80,8
19700329,100,10
19700330,190,19
19700331,80,8
19700401,81,8.1
19700402,55,5.5
19700403,80,8
19700404,92,9.2
19700405,110,11
19700406,130,13
19700407,80,8
19700408,62,6.2
19700409,71,7.1
19700410,90,9
19700411,148,14.8
19700412,138,13.8
19700413,139,13.9
19700414,150,15
19700415,210,21
19700416,288,28.8
19700417,280,28
19700418,280,28
19700419,102,10.2
19700420,110,11
19700421,110,11
19700422,210,21
19700423,215,21.5
19700424,180,18
19700425,200,20
19700426,90,9
19700427,60,6
19700428,53,5.3
19700429,98,9.8
19700430,118,11.8
19700501,105,10.5
19700502,198,19.8
19700503,270,27
19700504,262,26.2
19700505,120,12
19700506,190,19
19700507,90,9
19700508,180,18
19700509,170,17
19700510,180,18
19700511,190,19
19700512,200,20
19700513,240,24
19700514,220,22
19700515,175,17.5
19700516,134,13.4
19700517,130,13
19700518,138,13.8
19700519,162,16.2
19700520,190,19
19700521,139,13.9
19700522,155,15.5
19700523,250,25
19700524,319,31.9
19700525,160,16
19700526,190,19
19700527,230,23
19700528,250,25
19700529,160,16
19700530,150,15
19700531,225,22.5
19700601,253,25.3
19700602,280,28
19700603,286,28.6
19700604,306,30.6
19700605,250,25
19700606,228,22.8
19700607,230,23
19700608,220,22
19700609,216,21.6
19700610,260,26
19700611,290,29
19700612,178,17.8
19700613,175,17.5
19700614,228,22.8
19700615,253,25.3
19700616,240,24
19700617,240,24
19700618,235,23.5
19700619,170,17
19700620,205,20.5
19700621,265,26.5
19700622,235,23.5
19700623,195,19.5
19700624,245,24.5
19700625,240,24
19700626,320,32
19700627,200,20
19700628,170,17
19700629,180,18
19700630,198,19.8
19700701,200,20
19700702,169,16.9
19700703,168,16.8
19700704,205,20.5
19700705,310,31
19700706,356,35.6
19700707,240,24
19700708,258,25.8
19700709,220,22
19700710,255,25.5
19700711,246,24.6
19700712,270,27
19700713,323,32.3
19700714,220,22
19700715,170,17
19700716,190,19
19700717,200,20
19700718,230,23
19700719,205,20.5
19700720,198,19.8
19700721,200,20
19700722,188,18.8
19700723,230,23
19700724,260,26
19700725,210,21
19700726,260,26
19700727,295,29.5
19700728,240,24
19700729,215,21.5
19700730,210,21
19700731,240,24
19700801,295,29.5
19700802,330,33
19700803,250,25
19700804,295,29.5
19700805,230,23
19700806,210,21
19700807,275,27.5
19700808,204,20.4
19700809,188,18.8
19700810,185,18.5
19700811,215,21.5
19700812,310,31
19700813,216,21.6
19700814,210,21
19700815,248,24.8
19700816,268,26.8
19700817,240,24
19700818,286,28.6
19700819,265,26.5
19700820,200,20
19700821,178,17.8
19700822,195,19.5
19700823,170,17
19700824,210,21
19700825,286,28.6
19700826,306,30.6
19700827,295,29.5
19700828,229,22.9
19700829,210,21
19700830,200,20
19700831,230,23
19700901,230,23
19700902,280,28
19700903,230,23
19700904,220,22
19700905,240,24
19700906,300,30
19700907,330,33
19700908,220,22
19700909,302,30.2
19700910,165,16.5
19700911,185,18.5
19700912,230,23
19700913,190,19
19700914,251,25.1
19700915,195,19.5
19700916,195,19.5
19700917,270,27
19700918,270,27
19700919,250,25
19700920,280,28
19700921,296,29.6
19700922,280,28
19700923,239,23.9
19700924,200,20
19700925,280,28
19700926,280,28
19700927,281,28.1
19700928,295,29.5
19700929,280,28
19700930,186,18.6
19701001,170,17
19701002,179,17.9
19701003,160,16
19701004,170,17
19701005,236,23.6
19701006,233,23.3
19701007,179,17.9
19701008,155,15.5
19701009,140,14
19701010,160,16
19701011,160,16
19701012,220,22
19701013,220,22
19701014,230,23
19701015,215,21.5
19701016,190,19
19701017,220,22
19701018,180,18
19701019,155,15.5
19701020,118,11.8
19701021,90,9
19701022,100,10
19701023,118,11.8
19701024,140,14
19701025,180,18
19701026,180,18
19701027,180,18
19701028,185,18.5
19701029,185,18.5
19701030,210,21
19701031,190,19
19701101,200,20
19701102,200,20
19701103,220,22
19701104,207,20.7
19701105,160,16
19701106,170,17
19701107,130,13
19701108,150,15
19701109,145,14.5
19701110,130,13
19701111,168,16.8
19701112,170,17
19701113,115,11.5
19701114,100,10
19701115,110,11
19701116,130,13
19701117,180,18
19701118,190,19
19701119,140,14
19701120,155,15.5
19701121,118,11.8
19701122,138,13.8
19701123,202,20.2
19701124,185,18.5
19701125,186,18.6
19701126,207,20.7
19701127,225,22.5
19701128,230,23
19701129,190,19
19701130,155,15.5
19701201,112,11.2
19701202,110,11
19701203,118,11.8
19701204,120,12
19701205,130,13
19701206,110,11
19701207,80,8
19701208,50,5
19701209,80,8
19701210,190,19
19701211,160,16
19701212,130,13
19701213,75,7.5
19701214,85,8.5
19701215,38,3.8
19701216,55,5.5
19701217,60,6
19701218,35,3.5
19701219,70,7
19701220,78,7.8
19701221,49,4.9
19701222,30,3
19701223,50,5
19701224,65,6.5
19701225,60,6
19701226,30,3
19701227,30,3
19701228,70,7
19701229,28,2.8
19701230,48,4.8
19701231,10,1
