YYYYMMDD, C072, G072,TmaxDay_C
20010203,-9999,96,9.6
20010204,-9999,82,8.2
20010205,-9999,106,10.6
20010206,-9999,135,13.5
20010207,-9999,87,8.7
20010208,-9999,75,7.5
20010209,-9999,55,5.5
20010210,-9999,105,10.5
20010211,-9999,138,13.8
20010212,-9999,-9999,NA
20010213,-9999,74,7.4
20010214,-9999,33,3.3
20010215,-9999,58,5.8
20010216,-9999,64,6.4
20010217,-9999,45,4.5
20010218,-9999,14,1.4
20010219,-9999,16,1.6
20010220,-9999,45,4.5
20010221,-9999,55,5.5
20010222,-9999,104,10.4
20010223,-9999,64,6.4
20010224,-9999,30,3
20010225,-9999,-6,-0.6
20010226,-9999,51,5.1
20010227,-9999,24,2.4
20010228,-9999,-3,-0.3
20010301,-9999,30,3
20010302,-9999,120,12
20010303,-9999,98,9.8
20010304,-9999,91,9.1
20010305,-9999,131,13.1
20010306,-9999,181,18.1
20010307,-9999,148,14.8
20010308,-9999,102,10.2
20010309,-9999,124,12.4
20010310,-9999,125,12.5
20010311,-9999,167,16.7
20010312,-9999,105,10.5
20010313,-9999,110,11
20010314,-9999,134,13.4
20010315,-9999,141,14.1
20010316,-9999,125,12.5
20010317,-9999,106,10.6
20010318,-9999,126,12.6
20010319,-9999,115,11.5
20010320,-9999,150,15
20010321,-9999,149,14.9
20010322,-9999,187,18.7
20010323,-9999,207,20.7
20010324,-9999,171,17.1
20010325,-9999,119,11.9
20010326,-9999,103,10.3
20010327,-9999,135,13.5
20010328,-9999,115,11.5
20010329,-9999,79,7.9
20010330,-9999,90,9
20010331,-9999,117,11.7
20010401,-9999,186,18.6
20010402,-9999,173,17.3
20010403,-9999,132,13.2
20010404,-9999,105,10.5
20010405,-9999,167,16.7
20010406,-9999,171,17.1
20010407,-9999,96,9.6
20010408,-9999,71,7.1
20010409,-9999,143,14.3
20010410,-9999,115,11.5
20010411,-9999,62,6.2
20010412,-9999,70,7
20010413,-9999,77,7.7
20010414,-9999,73,7.3
20010415,-9999,121,12.1
20010416,-9999,86,8.6
20010417,-9999,79,7.9
20010418,-9999,57,5.7
