YYYYMMDD,1021,TmeanDay_C
19700101,18,1.8
19700102,42,4.2
19700103,58,5.8
19700104,106,10.6
19700105,82,8.2
19700106,33,3.3
19700107,40,4
19700108,110,11
19700109,140,14
19700110,136,13.6
19700111,120,12
19700112,92,9.2
19700113,95,9.5
19700114,100,10
19700115,58,5.8
19700116,88,8.8
19700117,95,9.5
19700118,110,11
19700119,100,10
19700120,80,8
19700121,74,7.4
19700122,94,9.4
19700123,92,9.2
19700124,78,7.8
19700125,98,9.8
19700126,60,6
19700127,71,7.1
19700128,80,8
19700129,110,11
19700130,100,10
19700131,90,9
19700201,75,7.5
19700202,108,10.8
19700203,116,11.6
19700204,100,10
19700205,73,7.3
19700206,70,7
19700207,71,7.1
19700208,69,6.9
19700209,70,7
19700210,95,9.5
19700211,92,9.2
19700212,93,9.3
19700213,65,6.5
19700214,33,3.3
19700215,1,0.1
19700216,30,3
19700217,70,7
19700218,65,6.5
19700219,82,8.2
19700220,85,8.5
19700221,100,10
19700222,102,10.2
19700223,90,9
19700224,100,10
19700225,58,5.8
19700226,35,3.5
19700227,25,2.5
19700228,10,1
19700301,8,0.8
19700302,20,2
19700303,24,2.4
19700304,40,4
19700305,60,6
19700306,39,3.9
19700307,62,6.2
19700308,40,4
19700309,38,3.8
19700310,28,2.8
19700311,46,4.6
19700312,46,4.6
19700313,65,6.5
19700314,50,5
19700315,40,4
19700316,48,4.8
19700317,70,7
19700318,86,8.6
19700319,96,9.6
19700320,113,11.3
19700321,135,13.5
19700322,98,9.8
19700323,108,10.8
19700324,88,8.8
19700325,80,8
19700326,50,5
19700327,65,6.5
19700328,44,4.4
19700329,64,6.4
19700330,104,10.4
19700331,82,8.2
19700401,66,6.6
19700402,35,3.5
19700403,40,4
19700404,62,6.2
19700405,85,8.5
19700406,66,6.6
19700407,70,7
19700408,42,4.2
19700409,50,5
19700410,64,6.4
19700411,98,9.8
19700412,105,10.5
19700413,117,11.7
19700414,130,13
19700415,120,12
19700416,174,17.4
19700417,176,17.6
19700418,190,19
19700419,101,10.1
19700420,94,9.4
19700421,90,9
19700422,132,13.2
19700423,138,13.8
19700424,140,14
19700425,148,14.8
19700426,79,7.9
19700427,50,5
19700428,32,3.2
19700429,56,5.6
19700430,96,9.6
19700501,98,9.8
19700502,142,14.2
19700503,170,17
19700504,180,18
19700505,115,11.5
19700506,136,13.6
19700507,80,8
19700508,115,11.5
19700509,135,13.5
19700510,115,11.5
19700511,133,13.3
19700512,138,13.8
19700513,165,16.5
19700514,190,19
19700515,145,14.5
19700516,117,11.7
19700517,120,12
19700518,120,12
19700519,137,13.7
19700520,130,13
19700521,125,12.5
19700522,132,13.2
19700523,153,15.3
19700524,210,21
