YYYYMMDD, C024, G024,TmeanDay_C
20010101,-9999,47,4.7
20010102,-9999,50,5
20010103,-9999,45,4.5
20010104,-9999,61,6.1
20010105,-9999,73,7.3
20010106,-9999,27,2.7
20010107,-9999,16,1.6
20010108,-9999,3,0.3
20010109,-9999,10,1
20010110,-9999,50,5
20010111,-9999,61,6.1
20010112,-9999,54,5.4
20010113,-9999,52,5.2
20010114,-9999,25,2.5
20010115,-9999,3,0.3
20010116,-9999,8,0.8
20010117,-9999,15,1.5
20010118,-9999,15,1.5
20010119,-9999,31,3.1
20010120,-9999,29,2.9
20010121,-9999,29,2.9
20010122,-9999,39,3.9
20010123,-9999,92,9.2
20010124,-9999,72,7.2
20010125,-9999,28,2.8
20010126,-9999,22,2.2
20010127,-9999,37,3.7
20010128,-9999,9,0.9
20010129,-9999,6,0.6
20010130,-9999,17,1.7
20010131,-9999,40,4
20010201,-9999,25,2.5
20010202,-9999,39,3.9
20010203,-9999,33,3.3
20010204,-9999,48,4.8
20010205,-9999,65,6.5
20010206,-9999,83,8.3
20010207,-9999,59,5.9
20010208,-9999,36,3.6
20010209,-9999,29,2.9
20010210,-9999,67,6.7
20010211,-9999,71,7.1
20010212,-9999,85,8.5
20010213,-9999,50,5
20010214,-9999,26,2.6
20010215,-9999,39,3.9
20010216,-9999,23,2.3
20010217,-9999,18,1.8
20010218,-9999,-5,-0.5
20010219,-9999,-1,-0.1
20010220,-9999,17,1.7
20010221,-9999,19,1.9
20010222,-9999,28,2.8
20010223,-9999,20,2
20010224,-9999,12,1.2
20010225,-9999,-16,-1.6
20010226,-9999,4,0.4
20010227,-9999,-9,-0.9
20010228,-9999,-16,-1.6
20010301,-9999,-1,-0.1
20010302,-9999,44,4.4
20010303,-9999,72,7.2
20010304,-9999,75,7.5
20010305,-9999,98,9.8
20010306,-9999,112,11.2
20010307,-9999,108,10.8
20010308,-9999,67,6.7
20010309,-9999,92,9.2
20010310,-9999,104,10.4
20010311,-9999,120,12
20010312,-9999,57,5.7
20010313,-9999,52,5.2
20010314,-9999,72,7.2
20010315,-9999,85,8.5
20010316,-9999,80,8
20010317,-9999,60,6
20010318,-9999,78,7.8
20010319,-9999,82,8.2
20010320,-9999,119,11.9
20010321,-9999,131,13.1
20010322,-9999,136,13.6
20010323,-9999,157,15.7
20010324,-9999,117,11.7
20010325,-9999,74,7.4
20010326,-9999,62,6.2
20010327,-9999,63,6.3
20010328,-9999,69,6.9
20010329,-9999,36,3.6
20010330,-9999,54,5.4
20010331,-9999,81,8.1
20010401,-9999,116,11.6
20010402,-9999,110,11
20010403,-9999,92,9.2
20010404,-9999,74,7.4
20010405,-9999,102,10.2
20010406,-9999,104,10.4
20010407,-9999,49,4.9
20010408,-9999,40,4
20010409,-9999,70,7
20010410,-9999,63,6.3
20010411,-9999,36,3.6
20010412,-9999,40,4
20010413,-9999,45,4.5
20010414,-9999,43,4.3
20010415,-9999,61,6.1
20010416,-9999,46,4.6
20010417,-9999,45,4.5
20010418,-9999,32,3.2
20010419,-9999,24,2.4
20010420,-9999,0,0
20010421,-9999,2,0.2
20010422,-9999,44,4.4
20010423,-9999,103,10.3
20010424,-9999,115,11.5
20010425,-9999,69,6.9
20010426,-9999,81,8.1
20010427,-9999,59,5.9
20010428,-9999,84,8.4
20010429,-9999,66,6.6
20010430,-9999,13,1.3
20010501,-9999,39,3.9
20010502,-9999,38,3.8
20010503,-9999,45,4.5
20010504,-9999,40,4
20010505,-9999,27,2.7
20010506,-9999,26,2.6
20010507,-9999,29,2.9
20010508,-9999,68,6.8
20010509,-9999,89,8.9
20010510,-9999,91,9.1
20010511,-9999,114,11.4
20010512,-9999,150,15
20010513,-9999,111,11.1
20010514,-9999,112,11.2
20010515,-9999,124,12.4
20010516,-9999,129,12.9
20010517,-9999,113,11.3
20010518,-9999,79,7.9
20010519,-9999,89,8.9
20010520,-9999,96,9.6
20010521,-9999,118,11.8
20010522,-9999,130,13
20010523,-9999,123,12.3
20010524,-9999,126,12.6
20010525,-9999,123,12.3
20010526,-9999,148,14.8
20010527,-9999,181,18.1
20010528,-9999,218,21.8
20010529,-9999,203,20.3
20010530,-9999,214,21.4
20010531,-9999,144,14.4
20010601,-9999,117,11.7
20010602,-9999,125,12.5
20010603,-9999,116,11.6
20010604,-9999,143,14.3
20010605,-9999,135,13.5
20010606,-9999,111,11.1
20010607,-9999,161,16.1
20010608,-9999,163,16.3
20010609,-9999,134,13.4
20010610,-9999,90,9
20010611,-9999,102,10.2
20010612,-9999,140,14
20010613,-9999,143,14.3
20010614,-9999,166,16.6
20010615,-9999,147,14.7
20010616,-9999,112,11.2
20010617,-9999,91,9.1
20010618,-9999,99,9.9
20010619,-9999,161,16.1
20010620,-9999,205,20.5
20010621,-9999,202,20.2
20010622,-9999,224,22.4
20010623,-9999,141,14.1
20010624,-9999,215,21.5
20010625,-9999,254,25.4
20010626,-9999,169,16.9
20010627,-9999,116,11.6
20010628,-9999,134,13.4
20010629,-9999,180,18
20010630,-9999,152,15.2
20010701,-9999,184,18.4
20010702,-9999,208,20.8
20010703,-9999,175,17.5
20010704,-9999,111,11.1
20010705,-9999,131,13.1
20010706,-9999,104,10.4
20010707,-9999,136,13.6
20010708,-9999,150,15
20010709,-9999,141,14.1
20010710,-9999,141,14.1
20010711,-9999,141,14.1
20010712,-9999,164,16.4
20010713,-9999,179,17.9
20010714,-9999,136,13.6
20010715,-9999,94,9.4
20010716,-9999,130,13
20010717,-9999,155,15.5
20010718,-9999,134,13.4
20010719,-9999,88,8.8
20010720,-9999,116,11.6
20010721,-9999,172,17.2
20010722,-9999,198,19.8
20010723,-9999,142,14.2
20010724,-9999,174,17.4
20010725,-9999,197,19.7
20010726,-9999,187,18.7
20010727,-9999,158,15.8
20010728,-9999,156,15.6
20010729,-9999,196,19.6
20010730,-9999,217,21.7
20010731,-9999,244,24.4
20010801,-9999,246,24.6
20010802,-9999,178,17.8
20010803,-9999,151,15.1
20010804,-9999,132,13.2
20010805,-9999,145,14.5
20010806,-9999,176,17.6
20010807,-9999,182,18.2
20010808,-9999,150,15
20010809,-9999,131,13.1
20010810,-9999,127,12.7
20010811,-9999,155,15.5
20010812,-9999,186,18.6
20010813,-9999,206,20.6
20010814,-9999,198,19.8
20010815,-9999,186,18.6
20010816,-9999,142,14.2
20010817,-9999,178,17.8
20010818,-9999,172,17.2
20010819,-9999,164,16.4
20010820,-9999,158,15.8
20010821,-9999,210,21
20010822,-9999,213,21.3
20010823,-9999,219,21.9
20010824,-9999,244,24.4
20010825,-9999,235,23.5
20010826,-9999,203,20.3
20010827,-9999,229,22.9
20010828,-9999,217,21.7
20010829,-9999,165,16.5
20010830,-9999,148,14.8
20010831,-9999,120,12
20010901,-9999,113,11.3
20010902,-9999,142,14.2
20010903,-9999,153,15.3
20010904,-9999,120,12
20010905,-9999,130,13
20010906,-9999,120,12
20010907,-9999,121,12.1
20010908,-9999,133,13.3
20010909,-9999,115,11.5
20010910,-9999,96,9.6
20010911,-9999,103,10.3
20010912,-9999,121,12.1
20010913,-9999,126,12.6
20010914,-9999,107,10.7
20010915,-9999,102,10.2
20010916,-9999,99,9.9
20010917,-9999,81,8.1
20010918,-9999,73,7.3
20010919,-9999,90,9
20010920,-9999,146,14.6
20010921,-9999,159,15.9
20010922,-9999,136,13.6
20010923,-9999,116,11.6
20010924,-9999,105,10.5
20010925,-9999,92,9.2
20010926,-9999,117,11.7
20010927,-9999,149,14.9
20010928,-9999,129,12.9
20010929,-9999,133,13.3
20010930,-9999,150,15
20011001,-9999,179,17.9
20011002,-9999,177,17.7
20011003,-9999,112,11.2
20011004,-9999,107,10.7
20011005,-9999,151,15.1
20011006,-9999,133,13.3
20011007,-9999,122,12.2
20011008,-9999,114,11.4
20011009,-9999,87,8.7
20011010,-9999,96,9.6
20011011,-9999,148,14.8
20011012,-9999,167,16.7
20011013,-9999,145,14.5
20011014,-9999,131,13.1
20011015,-9999,127,12.7
20011016,-9999,129,12.9
20011017,-9999,127,12.7
20011018,-9999,120,12
20011019,-9999,109,10.9
20011020,-9999,94,9.4
20011021,-9999,110,11
20011022,-9999,119,11.9
20011023,-9999,100,10
20011024,-9999,79,7.9
20011025,-9999,90,9
20011026,-9999,113,11.3
20011027,-9999,112,11.2
20011028,-9999,136,13.6
20011029,-9999,163,16.3
20011030,-9999,153,15.3
20011031,-9999,120,12
20011101,-9999,62,6.2
20011102,-9999,60,6
20011103,-9999,88,8.8
20011104,-9999,91,9.1
20011105,-9999,58,5.8
20011106,-9999,58,5.8
20011107,-9999,69,6.9
20011108,-9999,65,6.5
20011109,-9999,-15,-1.5
20011110,-9999,-24,-2.4
20011111,-9999,0,0
20011112,-9999,33,3.3
20011113,-9999,-9999,NA
20011114,-9999,-6,-0.6
20011115,-9999,-15,-1.5
20011116,-9999,14,1.4
20011117,-9999,35,3.5
20011118,-9999,35,3.5
20011119,-9999,30,3
20011120,-9999,27,2.7
20011121,-9999,26,2.6
20011122,-9999,8,0.8
20011123,-9999,24,2.4
20011124,-9999,29,2.9
20011125,-9999,34,3.4
20011126,-9999,40,4
20011127,-9999,24,2.4
20011128,-9999,31,3.1
20011129,-9999,45,4.5
20011130,-9999,50,5
20011201,-9999,47,4.7
20011202,-9999,49,4.9
20011203,-9999,41,4.1
20011204,-9999,32,3.2
20011205,-9999,47,4.7
20011206,-9999,73,7.3
20011207,-9999,48,4.8
20011208,-9999,46,4.6
20011209,-9999,44,4.4
20011210,-9999,28,2.8
20011211,-9999,11,1.1
20011212,-9999,-8,-0.8
20011213,-9999,-15,-1.5
20011214,-9999,-40,-4
20011215,-9999,-69,-6.9
20011216,-9999,-29,-2.9
20011217,-9999,-34,-3.4
20011218,-9999,-24,-2.4
20011219,-9999,-3,-0.3
20011220,-9999,-26,-2.6
20011221,-9999,-37,-3.7
20011222,-9999,-42,-4.2
20011223,-9999,-40,-4
20011224,-9999,-62,-6.2
20011225,-9999,-42,-4.2
20011226,-9999,1,0.1
20011227,-9999,11,1.1
20011228,-9999,5,0.5
20011229,-9999,31,3.1
20011230,-9999,52,5.2
20011231,-9999,23,2.3
20020101,-9999,9,0.9
20020102,-9999,7,0.7
20020103,-9999,46,4.6
20020104,-9999,45,4.5
20020105,-9999,31,3.1
20020106,-9999,31,3.1
20020107,-9999,5,0.5
20020108,-9999,4,0.4
20020109,-9999,27,2.7
20020110,-9999,28,2.8
20020111,-9999,13,1.3
20020112,-9999,15,1.5
20020113,-9999,53,5.3
20020114,-9999,51,5.1
20020115,-9999,33,3.3
20020116,-9999,22,2.2
20020117,-9999,36,3.6
20020118,-9999,36,3.6
20020119,-9999,26,2.6
20020120,-9999,12,1.2
20020121,-9999,20,2
20020122,-9999,25,2.5
20020123,-9999,53,5.3
20020124,-9999,40,4
20020125,-9999,50,5
20020126,-9999,73,7.3
20020127,-9999,72,7.2
20020128,-9999,74,7.4
20020129,-9999,90,9
20020130,-9999,79,7.9
20020131,-9999,50,5
20020201,-9999,65,6.5
20020202,-9999,73,7.3
20020203,-9999,42,4.2
