YYYYMMDD, C072, G072,TmeanDay_C
20010203,-9999,63,6.3
20010204,-9999,64,6.4
20010205,-9999,72,7.2
20010206,-9999,106,10.6
20010207,-9999,68,6.8
20010208,-9999,41,4.1
20010209,-9999,30,3
20010210,-9999,75,7.5
20010211,-9999,86,8.6
20010212,-9999,-9999,NA
20010213,-9999,49,4.9
20010214,-9999,29,2.9
20010215,-9999,41,4.1
20010216,-9999,43,4.3
20010217,-9999,22,2.2
20010218,-9999,0,0
20010219,-9999,7,0.7
20010220,-9999,18,1.8
20010221,-9999,22,2.2
20010222,-9999,50,5
20010223,-9999,33,3.3
20010224,-9999,15,1.5
20010225,-9999,-13,-1.3
20010226,-9999,9,0.9
20010227,-9999,-12,-1.2
20010228,-9999,-15,-1.5
20010301,-9999,6,0.6
20010302,-9999,64,6.4
20010303,-9999,79,7.9
20010304,-9999,73,7.3
20010305,-9999,101,10.1
20010306,-9999,134,13.4
20010307,-9999,109,10.9
20010308,-9999,73,7.3
20010309,-9999,97,9.7
20010310,-9999,109,10.9
20010311,-9999,126,12.6
20010312,-9999,60,6
20010313,-9999,57,5.7
20010314,-9999,74,7.4
20010315,-9999,93,9.3
20010316,-9999,89,8.9
20010317,-9999,66,6.6
20010318,-9999,80,8
20010319,-9999,89,8.9
20010320,-9999,122,12.2
20010321,-9999,129,12.9
20010322,-9999,140,14
20010323,-9999,153,15.3
20010324,-9999,113,11.3
20010325,-9999,76,7.6
20010326,-9999,66,6.6
20010327,-9999,67,6.7
20010328,-9999,75,7.5
20010329,-9999,48,4.8
20010330,-9999,64,6.4
20010331,-9999,90,9
20010401,-9999,129,12.9
20010402,-9999,109,10.9
20010403,-9999,91,9.1
20010404,-9999,71,7.1
20010405,-9999,103,10.3
20010406,-9999,112,11.2
20010407,-9999,60,6
20010408,-9999,48,4.8
20010409,-9999,80,8
20010410,-9999,76,7.6
20010411,-9999,45,4.5
20010412,-9999,41,4.1
20010413,-9999,41,4.1
20010414,-9999,39,3.9
20010415,-9999,69,6.9
20010416,-9999,51,5.1
20010417,-9999,40,4
20010418,-9999,36,3.6
20010419,-9999,24,2.4
