YYYYMMDD,1060,TminDay_C
19700101,0,0
19700102,-20,-2
19700103,5,0.5
19700104,40,4
19700105,20,2
19700106,15,1.5
19700107,-85,-8.5
19700108,-20,-2
19700109,70,7
19700110,80,8
19700111,75,7.5
19700112,50,5
19700113,65,6.5
19700114,40,4
19700115,65,6.5
19700116,-20,-2
19700117,20,2
19700118,60,6
19700119,50,5
19700120,60,6
19700121,0,0
19700122,30,3
19700123,20,2
19700124,40,4
19700125,60,6
19700126,45,4.5
19700127,30,3
19700128,45,4.5
19700129,20,2
19700130,30,3
19700131,10,1
19700201,40,4
19700202,35,3.5
19700203,60,6
19700204,20,2
19700205,30,3
19700206,10,1
19700207,35,3.5
19700208,-40,-4
19700209,-35,-3.5
19700210,20,2
19700211,50,5
19700212,55,5.5
19700213,-20,-2
19700214,-10,-1
19700215,-25,-2.5
19700216,-20,-2
19700217,15,1.5
19700218,30,3
19700219,-10,-1
19700220,-15,-1.5
19700221,30,3
19700222,40,4
19700223,55,5.5
19700224,60,6
19700225,15,1.5
19700226,0,0
19700227,-15,-1.5
19700228,-30,-3
19700301,-30,-3
19700302,0,0
19700303,-20,-2
19700304,30,3
19700305,10,1
19700306,-20,-2
19700307,-30,-3
19700308,0,0
19700309,-35,-3.5
19700310,-50,-5
19700311,-20,-2
19700312,-50,-5
19700313,-40,-4
19700314,0,0
19700315,-10,-1
19700316,-5,-0.5
19700317,5,0.5
19700318,30,3
19700319,50,5
19700320,40,4
19700321,20,2
19700322,45,4.5
19700323,50,5
19700324,15,1.5
19700325,20,2
19700326,-25,-2.5
19700327,20,2
19700328,30,3
19700329,-15,-1.5
19700330,0,0
19700331,20,2
19700401,15,1.5
19700402,-25,-2.5
19700403,10,1
19700404,10,1
19700405,35,3.5
19700406,-30,-3
19700407,20,2
19700408,-10,-1
19700409,10,1
19700410,-10,-1
19700411,30,3
19700412,60,6
19700413,70,7
19700414,10,1
19700415,35,3.5
19700416,50,5
19700417,70,7
19700418,50,5
19700419,80,8
19700420,50,5
19700421,25,2.5
19700422,35,3.5
19700423,25,2.5
19700424,60,6
19700425,90,9
19700426,55,5.5
19700427,65,6.5
19700428,20,2
19700429,5,0.5
19700430,70,7
19700501,25,2.5
19700502,45,4.5
19700503,30,3
19700504,65,6.5
19700505,80,8
19700506,75,7.5
19700507,55,5.5
19700508,0,0
19700509,35,3.5
19700510,70,7
19700511,40,4
19700512,55,5.5
19700513,60,6
19700514,75,7.5
19700515,50,5
19700516,65,6.5
19700517,85,8.5
19700518,80,8
19700519,90,9
19700520,45,4.5
19700521,70,7
19700522,85,8.5
19700523,30,3
19700524,90,9
19700525,70,7
19700526,80,8
19700527,90,9
19700528,65,6.5
19700529,50,5
19700530,90,9
19700531,95,9.5
19700601,85,8.5
19700602,90,9
19700603,110,11
19700604,160,16
19700605,130,13
19700606,115,11.5
19700607,120,12
19700608,90,9
19700609,110,11
19700610,145,14.5
19700611,120,12
19700612,130,13
19700613,90,9
19700614,100,10
19700615,80,8
19700616,95,9.5
19700617,85,8.5
19700618,110,11
19700619,95,9.5
19700620,110,11
19700621,80,8
19700622,120,12
19700623,110,11
19700624,100,10
19700625,130,13
19700626,160,16
19700627,170,17
19700628,125,12.5
19700629,110,11
19700630,135,13.5
19700701,100,10
19700702,140,14
19700703,110,11
19700704,100,10
19700705,55,5.5
19700706,175,17.5
19700707,150,15
19700708,125,12.5
19700709,145,14.5
19700710,105,10.5
19700711,125,12.5
19700712,130,13
19700713,160,16
19700714,165,16.5
19700715,115,11.5
19700716,85,8.5
19700717,90,9
19700718,110,11
19700719,125,12.5
19700720,100,10
19700721,115,11.5
19700722,120,12
19700723,100,10
19700724,130,13
19700725,110,11
19700726,95,9.5
19700727,140,14
19700728,160,16
19700729,150,15
19700730,120,12
19700731,140,14
19700801,130,13
19700802,155,15.5
19700803,165,16.5
19700804,120,12
19700805,150,15
19700806,140,14
19700807,135,13.5
19700808,120,12
19700809,105,10.5
19700810,140,14
19700811,135,13.5
19700812,120,12
19700813,140,14
19700814,160,16
19700815,125,12.5
19700816,100,10
19700817,130,13
19700818,150,15
19700819,145,14.5
19700820,110,11
19700821,120,12
19700822,100,10
19700823,110,11
19700824,95,9.5
19700825,105,10.5
19700826,140,14
19700827,120,12
19700828,115,11.5
19700829,135,13.5
19700830,110,11
19700831,105,10.5
19700901,100,10
19700902,115,11.5
19700903,140,14
19700904,150,15
19700905,90,9
19700906,125,12.5
19700907,130,13
19700908,110,11
19700909,80,8
19700910,125,12.5
19700911,80,8
19700912,65,6.5
19700913,50,5
19700914,75,7.5
19700915,115,11.5
19700916,85,8.5
19700917,50,5
19700918,60,6
19700919,50,5
19700920,65,6.5
19700921,70,7
19700922,50,5
19700923,70,7
19700924,80,8
19700925,120,12
19700926,115,11.5
19700927,130,13
19700928,160,16
19700929,115,11.5
19700930,145,14.5
19701001,100,10
19701002,130,13
19701003,95,9.5
19701004,110,11
19701005,40,4
19701006,80,8
19701007,50,5
19701008,25,2.5
19701009,30,3
19701010,40,4
19701011,75,7.5
19701012,50,5
19701013,40,4
19701014,35,3.5
19701015,65,6.5
19701016,55,5.5
19701017,70,7
19701018,30,3
19701019,65,6.5
19701020,70,7
19701021,30,3
19701022,40,4
19701023,20,2
19701024,15,1.5
19701025,-20,-2
19701026,-10,-1
19701027,-15,-1.5
19701028,-10,-1
19701029,5,0.5
19701030,65,6.5
19701031,60,6
19701101,25,2.5
19701102,30,3
19701103,25,2.5
19701104,60,6
19701105,70,7
19701106,80,8
19701107,65,6.5
19701108,55,5.5
19701109,60,6
19701110,55,5.5
19701111,70,7
19701112,65,6.5
19701113,50,5
19701114,10,1
19701115,20,2
19701116,60,6
19701117,120,12
19701118,75,7.5
19701119,80,8
19701120,60,6
19701121,25,2.5
19701122,20,2
19701123,70,7
19701124,80,8
19701125,95,9.5
19701126,100,10
19701127,90,9
19701128,120,12
19701129,125,12.5
19701130,70,7
19701201,35,3.5
19701202,-15,-1.5
19701203,-25,-2.5
19701204,-35,-3.5
19701205,30,3
19701206,45,4.5
19701207,35,3.5
19701208,15,1.5
19701209,5,0.5
19701210,20,2
19701211,40,4
19701212,35,3.5
19701213,20,2
19701214,25,2.5
19701215,-10,-1
19701216,20,2
19701217,-60,-6
19701218,-90,-9
19701219,-80,-8
19701220,-55,-5.5
19701221,-50,-5
19701222,-15,-1.5
19701223,-40,-4
19701224,-30,-3
19701225,-20,-2
19701226,-15,-1.5
19701227,-55,-5.5
19701228,-30,-3
19701229,-80,-8
19701230,-60,-6
19701231,-15,-1.5
19710101,-75,-7.5
19710102,-100,-10
19710103,-135,-13.5
19710104,-135,-13.5
19710105,10,1
19710106,-20,-2
19710107,-40,-4
19710108,10,1
19710109,-25,-2.5
19710110,-30,-3
19710111,5,0.5
19710112,35,3.5
19710113,-25,-2.5
19710114,30,3
19710115,-35,-3.5
19710116,-55,-5.5
19710117,-20,-2
19710118,-10,-1
19710119,30,3
19710120,15,1.5
19710121,40,4
19710122,15,1.5
19710123,60,6
19710124,0,0
19710125,25,2.5
19710126,80,8
19710127,45,4.5
19710128,15,1.5
19710129,20,2
19710130,30,3
19710131,40,4
19710201,-25,-2.5
19710202,10,1
19710203,-20,-2
19710204,-60,-6
19710205,0,0
19710206,-25,-2.5
19710207,0,0
19710208,20,2
19710209,10,1
19710210,5,0.5
19710211,-10,-1
19710212,-30,-3
19710213,-40,-4
19710214,20,2
19710215,-30,-3
19710216,-10,-1
19710217,30,3
19710218,65,6.5
19710219,55,5.5
