YYYYMMDD,1021,TminDay_C
19700101,-3,-0.3
19700102,18,1.8
19700103,5,0.5
19700104,51,5.1
19700105,85,8.5
19700106,26,2.6
19700107,-40,-4
19700108,40,4
19700109,110,11
19700110,123,12.3
19700111,104,10.4
19700112,75,7.5
19700113,40,4
19700114,100,10
19700115,35,3.5
19700116,50,5
19700117,50,5
19700118,40,4
19700119,70,7
19700120,30,3
19700121,30,3
19700122,48,4.8
19700123,66,6.6
19700124,35,3.5
19700125,55,5.5
19700126,60,6
19700127,52,5.2
19700128,30,3
19700129,70,7
19700130,90,9
19700131,80,8
19700201,30,3
19700202,82,8.2
19700203,102,10.2
19700204,56,5.6
19700205,36,3.6
19700206,20,2
19700207,32,3.2
19700208,36,3.6
19700209,30,3
19700210,80,8
19700211,70,7
19700212,60,6
19700213,30,3
19700214,17,1.7
19700215,-8,-0.8
19700216,-10,-1
19700217,30,3
19700218,50,5
19700219,59,5.9
19700220,60,6
19700221,90,9
19700222,60,6
19700223,70,7
19700224,105,10.5
19700225,50,5
19700226,30,3
19700227,10,1
19700228,-20,-2
19700301,1,0.1
19700302,-10,-1
19700303,15,1.5
19700304,13,1.3
19700305,52,5.2
19700306,8,0.8
19700307,14,1.4
19700308,15,1.5
19700309,-10,-1
19700310,-4,-0.4
19700311,13,1.3
19700312,-19,-1.9
19700313,20,2
19700314,10,1
19700315,40,4
19700316,26,2.6
19700317,60,6
19700318,61,6.1
19700319,80,8
19700320,96,9.6
19700321,50,5
19700322,80,8
19700323,82,8.2
19700324,22,2.2
19700325,40,4
19700326,11,1.1
19700327,41,4.1
19700328,7,0.7
19700329,28,2.8
19700330,18,1.8
19700331,85,8.5
19700401,50,5
19700402,15,1.5
19700403,0,0
19700404,32,3.2
19700405,60,6
19700406,1,0.1
19700407,60,6
19700408,22,2.2
19700409,28,2.8
19700410,38,3.8
19700411,48,4.8
19700412,72,7.2
19700413,95,9.5
19700414,110,11
19700415,30,3
19700416,60,6
19700417,71,7.1
19700418,100,10
19700419,100,10
19700420,79,7.9
19700421,70,7
19700422,55,5.5
19700423,60,6
19700424,100,10
19700425,96,9.6
19700426,68,6.8
19700427,40,4
19700428,11,1.1
19700429,15,1.5
19700430,75,7.5
19700501,90,9
19700502,85,8.5
19700503,70,7
19700504,99,9.9
19700505,110,11
19700506,82,8.2
19700507,70,7
19700508,50,5
19700509,100,10
19700510,50,5
19700511,76,7.6
19700512,77,7.7
19700513,90,9
19700514,160,16
19700515,115,11.5
19700516,100,10
19700517,110,11
19700518,102,10.2
19700519,112,11.2
19700520,70,7
19700521,111,11.1
19700522,108,10.8
19700523,56,5.6
19700524,100,10
19700525,132,13.2
19700526,130,13
19700527,135,13.5
19700528,90,9
19700529,86,8.6
19700530,120,12
19700531,123,12.3
19700601,118,11.8
19700602,101,10.1
19700603,120,12
19700604,175,17.5
19700605,160,16
19700606,145,14.5
19700607,122,12.2
19700608,150,15
19700609,150,15
19700610,156,15.6
19700611,142,14.2
19700612,170,17
19700613,156,15.6
19700614,120,12
19700615,145,14.5
19700616,140,14
19700617,124,12.4
19700618,145,14.5
19700619,145,14.5
19700620,147,14.7
19700621,100,10
19700622,135,13.5
19700623,167,16.7
19700624,156,15.6
19700625,172,17.2
19700626,180,18
19700627,185,18.5
19700628,146,14.6
19700629,128,12.8
19700630,140,14
19700701,109,10.9
19700702,154,15.4
19700703,120,12
19700704,127,12.7
19700705,110,11
19700706,152,15.2
19700707,172,17.2
19700708,122,12.2
19700709,165,16.5
19700710,138,13.8
19700711,135,13.5
19700712,175,17.5
19700713,161,16.1
19700714,192,19.2
19700715,157,15.7
19700716,118,11.8
19700717,110,11
19700718,120,12
19700719,138,13.8
19700720,120,12
19700721,138,13.8
19700722,170,17
19700723,175,17.5
19700724,170,17
19700725,165,16.5
19700726,118,11.8
19700727,135,13.5
19700728,168,16.8
19700729,180,18
19700730,158,15.8
19700731,160,16
19700801,170,17
19700802,168,16.8
19700803,170,17
19700804,164,16.4
19700805,168,16.8
19700806,175,17.5
19700807,154,15.4
19700808,148,14.8
19700809,150,15
19700810,155,15.5
19700811,150,15
19700812,140,14
19700813,142,14.2
19700814,175,17.5
19700815,168,16.8
19700816,180,18
19700817,185,18.5
19700818,158,15.8
19700819,150,15
19700820,142,14.2
19700821,140,14
19700822,112,11.2
19700823,140,14
19700824,130,13
19700825,100,10
19700826,160,16
19700827,180,18
19700828,170,17
19700829,172,17.2
19700830,163,16.3
19700831,149,14.9
19700901,150,15
19700902,135,13.5
19700903,135,13.5
19700904,170,17
19700905,130,13
19700906,140,14
19700907,140,14
19700908,125,12.5
19700909,124,12.4
19700910,150,15
19700911,115,11.5
19700912,79,7.9
19700913,125,12.5
19700914,95,9.5
19700915,159,15.9
19700916,110,11
19700917,85,8.5
19700918,100,10
19700919,80,8
19700920,100,10
19700921,112,11.2
19700922,120,12
19700923,125,12.5
19700924,160,16
19700925,148,14.8
19700926,140,14
19700927,130,13
19700928,148,14.8
19700929,132,13.2
19700930,180,18
19701001,140,14
19701002,160,16
19701003,149,14.9
19701004,120,12
19701005,79,7.9
19701006,90,9
19701007,112,11.2
19701008,70,7
19701009,90,9
19701010,78,7.8
19701011,110,11
19701012,100,10
19701013,90,9
19701014,109,10.9
19701015,100,10
19701016,110,11
19701017,100,10
19701018,78,7.8
19701019,64,6.4
19701020,101,10.1
19701021,40,4
19701022,20,2
19701023,25,2.5
19701024,30,3
19701025,18,1.8
19701026,30,3
19701027,40,4
19701028,32,3.2
19701029,40,4
19701030,50,5
19701031,50,5
19701101,52,5.2
19701102,65,6.5
19701103,65,6.5
19701104,65,6.5
19701105,75,7.5
19701106,102,10.2
19701107,99,9.9
19701108,85,8.5
19701109,98,9.8
19701110,100,10
19701111,70,7
19701112,90,9
19701113,100,10
19701114,40,4
19701115,48,4.8
19701116,60,6
19701117,85,8.5
19701118,110,11
19701119,101,10.1
19701120,70,7
19701121,53,5.3
19701122,30,3
19701123,40,4
19701124,89,8.9
19701125,150,15
19701126,129,12.9
19701127,122,12.2
19701128,180,18
19701129,160,16
19701130,75,7.5
19701201,70,7
19701202,75,7.5
19701203,40,4
19701204,50,5
19701205,90,9
19701206,65,6.5
19701207,74,7.4
19701208,50,5
19701209,31,3.1
19701210,40,4
19701211,100,10
19701212,38,3.8
19701213,35,3.5
19701214,60,6
19701215,20,2
19701216,15,1.5
19701217,0,0
19701218,-30,-3
19701219,-20,-2
19701220,-26,-2.6
19701221,16,1.6
19701222,20,2
19701223,-20,-2
19701224,-34,-3.4
19701225,-23,-2.3
19701226,-4,-0.4
19701227,-28,-2.8
19701228,-35,-3.5
19701229,-20,-2
19701230,-12,-1.2
19701231,-14,-1.4
19710101,-78,-7.8
19710102,-95,-9.5
19710103,-78,-7.8
19710104,-70,-7
19710105,-30,-3
19710106,24,2.4
19710107,0,0
19710108,15,1.5
19710109,0,0
19710110,0,0
19710111,15,1.5
19710112,100,10
19710113,8,0.8
19710114,40,4
19710115,19,1.9
19710116,32,3.2
19710117,30,3
19710118,48,4.8
19710119,65,6.5
19710120,74,7.4
19710121,60,6
19710122,42,4.2
19710123,60,6
19710124,38,3.8
19710125,40,4
19710126,80,8
19710127,110,11
19710128,60,6
19710129,50,5
19710130,90,9
19710131,40,4
19710201,20,2
19710202,20,2
19710203,-19,-1.9
19710204,-20,-2
19710205,1,0.1
19710206,0,0
19710207,8,0.8
19710208,57,5.7
19710209,10,1
19710210,50,5
19710211,30,3
19710212,10,1
19710213,1,0.1
19710214,52,5.2
19710215,10,1
19710216,23,2.3
19710217,49,4.9
19710218,90,9
