"Species","Campaign","Tissue","Segment2","d2H_mean","d2H_se","d18O_mean","d18O_se","RWC","RWC.se","N_is"
"Fagus sylvatica","Summer-19","bark","control",-44.01521676,NA,-3.80023134,NA,0.052518631,NA,1
"Fagus sylvatica","Summer-19","bark","before",-42.4346522,0.618697539999999,-3.5713430715,0.3627248835,0.0476975775,0.0039403975,2
"Fagus sylvatica","Summer-19","bark","after",52.564987215,37.874823695,-3.4991433285,0.4019118085,0.040603363,0.001910063,2
"Fagus sylvatica","Summer-19","leaf","control",16.48151438,NA,18.23709291,NA,0.06178979,NA,1
"Fagus sylvatica","Summer-19","leaf","before",15.613799535,0.678600455,17.20364104,0.12999237,0.079132131,0.015452221,2
"Fagus sylvatica","Summer-19","leaf","after",77.3799316,38.0988839,16.528220825,1.086931935,0.0870576975,0.000800376499999998,2
"Fagus sylvatica","Summer-19","xylem","control",-47.381979594,1.33538839451688,-5.211640112,0.211968116617817,0.0957730305,0.00913229539646992,5
"Fagus sylvatica","Summer-19","xylem","before",-46.818778326875,1.66031877111773,-4.947378875375,0.210091159841376,0.0882118921764706,0.00598725346478181,16
"Fagus sylvatica","Summer-19","xylem","after",78.8102491337059,32.6593177414154,-4.95877204952941,0.210196115438656,0.0791670963529412,0.00649401037992163,17
"Pinus sylvestris","Autumn-18","bark","before",-69.5442162875,2.50766038267486,-9.972116647375,0.194166836092257,0.0954238299444444,0.00825735528421661,8
"Pinus sylvestris","Autumn-18","bark","after",198.982287224286,74.3194598276866,-9.83664519557143,0.452602596006021,0.065819599,0.00837254709696815,7
"Pinus sylvestris","Autumn-18","leaf","control",-70.536485081,0.979234734568589,-6.4695243606,0.465392861053606,0.1839762424,0.00250409708064413,5
"Pinus sylvestris","Autumn-18","leaf","before",-16.0238395196,3.87066253872333,5.2768734896,0.470397871259269,0.0826011016,0.00168154366032371,5
"Pinus sylvestris","Autumn-18","leaf","after",148.024428561111,55.8502974507787,4.94534579544444,0.350098711092332,0.0923920002222222,0.00312527599815137,9
"Pinus sylvestris","Autumn-18","xylem","control",-72.3452758325,1.0645537557007,-9.14501858925,0.283010343809986,0.1313286198,0.0104371313286346,4
"Pinus sylvestris","Autumn-18","xylem","before",-73.2786600322222,1.7207587986603,-8.91411872566667,0.242240887998656,0.154114597111111,0.00598394009298457,9
"Pinus sylvestris","Autumn-18","xylem","after",130.202562218889,59.0711862714786,-9.34370353011111,0.214672548358009,0.124417191333333,0.0161241963435033,9
"Pinus sylvestris","Summer-18","bark","before",-103.68293814,1.13266088287082,-11.664059176,0.23199289442684,0.055304949,0.00487725339199581,5
"Pinus sylvestris","Summer-18","bark","after",30.138794195,112.441031705,-11.022099725,0.492704605,0.0504788502,0.00550976174297029,2
"Pinus sylvestris","Summer-18","leaf","before",-56.16369383,NA,2.951074159,NA,0.0548749736666667,0.0223404777048418,1
"Pinus sylvestris","Summer-18","leaf","after",43.043042715,31.798159665,2.1601887055,0.1314715985,0.025746417,0.00276090392647668,2
"Pinus sylvestris","Summer-18","xylem","before",-100.061157945556,1.10773498114209,-12.0558566166667,0.159135493199981,0.124944211,0.00569364870081831,9
"Pinus sylvestris","Summer-18","xylem","after",74.14147149,50.466268858074,-11.637469622,0.56557907755278,0.084942883,0.0128519944017992,7
"Pinus sylvestris","Summer-19","bark","control",-28.5154349,NA,-5.854558375,NA,0.11875995,NA,1
"Pinus sylvestris","Summer-19","bark","before",-36.645823725,2.982462255,-5.3555635425,0.4447143905,0.160541176,0.025404802,2
"Pinus sylvestris","Summer-19","bark","after",171.11711665,35.24364315,-5.4752733655,0.1201829635,0.1108406255,0.0231202055,2
"Pinus sylvestris","Summer-19","leaf","control",17.41788464,NA,1.714848181,NA,0.133306916,NA,1
"Pinus sylvestris","Summer-19","leaf","before",9.9924663495,2.5615496605,4.227052697,0.764376012,0.1099054385,0.0075220095,2
"Pinus sylvestris","Summer-19","leaf","after",72.427823225,12.706409455,2.3530424915,2.2564737995,0.1499744795,0.0306522965,2
"Pinus sylvestris","Summer-19","xylem","control",-39.035126065,5.56873991086544,-5.4755161449,0.516874797096581,0.0842887328,0.00884211503808917,5
"Pinus sylvestris","Summer-19","xylem","before",-39.2075658647059,2.71543068451811,-6.094658596,0.32633067452804,0.143748539777778,0.00852201357912085,17
"Pinus sylvestris","Summer-19","xylem","after",154.265808533889,32.9057730007474,-6.2644888375,0.40746066540289,0.133564923176471,0.0108975473403737,18
"Pinus sylvestris","Winter-19","bark","control",-48.2203505933333,9.23966939702702,-9.31991140766667,0.135448772822122,0.0474826566666667,0.00584954586605947,3
"Pinus sylvestris","Winter-19","bark","before",-30.4583081325,4.91511300248195,-8.90051808125,0.257822577866725,0.05883132725,0.00541807278161618,4
"Pinus sylvestris","Winter-19","bark","after",-1.361998344,15.6704001032043,-8.737221377,0.622215543129138,0.0565707576666667,0.00822529258562706,3
"Pinus sylvestris","Winter-19","leaf","before",-2.4950370265,NA,3.517614518,NA,0.079578746,0.04342575,1
"Pinus sylvestris","Winter-19","leaf","after",92.714203235,NA,1.402842478,NA,0.062740211,0.0226507893969844,1
"Pinus sylvestris","Winter-19","xylem","control",-49.289544959,6.51372364198198,-9.2517604802,0.488901243599773,0.0973084608,0.0152474426735717,5
"Pinus sylvestris","Winter-19","xylem","before",-49.052520820625,1.67324945834643,-9.07084308309375,0.295777134528746,0.122471652375,0.0088681439661087,16
"Pinus sylvestris","Winter-19","xylem","after",51.1478303689412,23.0751521789313,-8.69494392997059,0.207216702118525,0.08619852475,0.00723948189236366,17
