"Obs","round","HHMMSS","intitialTime","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","DateTime","outOfWater","timeMin","timeInterval","dCond","dPhoto"
"branch1","one","12:39:43","12:35:00",11.7233391,0.113576966,217.8517563,1.448646208,1.313442311,24.77676201,6,1.420000017,1,2.840000033,23.80459976,24.77676201,23.07138443,409.8917847,395.1268616,16.2641468,17.97244072,55.76937103,61.62706757,499.6600952,1199.189209,229.9429474,101.4977036,2019-10-09 12:39:43,2019-10-09 12:35:00,4.71666666666667,NA,NA,NA
"branch1","one","12:40:43","12:35:00",11.71593245,0.111312194,214.3473827,1.4196777,1.312225483,24.81781197,6,1.420000017,1,2.840000033,23.81472015,24.81781197,23.06635094,409.5705261,394.8278809,16.38653183,18.06061363,56.1538353,61.890625,499.6305847,1200.750488,230.0375519,101.495903,2019-10-09 12:40:43,2019-10-09 12:35:00,5.71666666666667,1,-3.77462e-05,-0.000123444166666668
"branch1","one","12:41:44","12:35:00",11.79037656,0.107877277,207.7784906,1.384353648,1.318670998,24.8862114,6,1.420000017,1,2.840000033,23.81446457,24.8862114,23.07209015,409.5387878,394.7236023,16.4913063,18.12363625,56.51450348,62.10838318,499.6284485,1198.783203,229.6649933,101.4972687,2019-10-09 12:41:44,2019-10-09 12:35:00,6.73333333333333,1.01666666666667,-5.63101147540985e-05,0.00122039524590164
"branch1","one","12:42:44","12:35:00",11.78678335,0.103508322,200.6068516,1.328865621,1.317228112,24.90169907,6,1.420000017,1,2.840000033,23.80511475,24.90169907,23.06779861,409.5795898,394.7951965,16.59998322,18.16678619,56.91841888,62.29070663,499.6382141,1199.646484,230.7272034,101.4963379,2019-10-09 12:42:44,2019-10-09 12:35:00,7.73333333333333,1,-7.28159166666666e-05,-5.98868333333336e-05
"branch1","one","12:43:44","12:35:00",11.74971382,0.100625023,196.0494552,1.279962305,1.303846704,24.85599899,6,1.420000017,1,2.840000033,23.79384804,24.85599899,23.06664848,409.4550781,394.7394714,16.70494843,18.21391678,57.31682205,62.49428558,499.6721802,1200.189209,229.1411591,101.4957352,2019-10-09 12:43:44,2019-10-09 12:35:00,8.73333333333333,1,-4.80549833333334e-05,-0.000617825500000002
"branch1","one","12:44:44","12:35:00",11.90272408,0.097064153,187.2505766,1.225848759,1.292982472,24.81406975,6,1.420000017,1,2.840000033,23.77434731,24.81406975,23.06830788,410.1280518,395.2537231,16.79841232,18.24353027,57.70449448,62.66864014,499.6761475,1199.669312,230.6469269,101.4945374,2019-10-09 12:44:44,2019-10-09 12:35:00,9.73333333333333,1,-5.93478333333332e-05,0.002550171
"branch1","one","12:45:44","12:35:00",11.68046311,0.09487349,186.2462426,1.196988346,1.2906527,24.83119583,6,1.420000017,1,2.840000033,23.78125763,24.83119583,23.06830025,409.4940491,394.900238,16.88739395,18.29846573,57.9851265,62.83023071,499.6564941,1200.253662,230.7176514,101.4929428,2019-10-09 12:45:44,2019-10-09 12:35:00,10.7333333333333,1,-3.65110499999999e-05,-0.00370434950000001
"branch1","one","12:46:45","12:35:00",11.6451569,0.091721202,180.3654054,1.165304595,1.298139051,24.90134811,6,1.420000017,1,2.840000033,23.79768562,24.90134811,23.07017517,409.671051,395.1340942,16.98134995,18.3550148,58.24953079,62.96148682,499.6482544,1198.772705,229.6850128,101.49189,2019-10-09 12:46:45,2019-10-09 12:35:00,11.75,1.01666666666667,-5.16768524590164e-05,-0.000578790327868851
"branch1","one","12:47:45","12:35:00",11.45317308,0.090290782,180.6293471,1.154290234,1.305469954,24.97631836,6,1.420000017,1,2.840000033,23.82356453,24.97631836,23.0690918,409.4599304,395.1596069,17.06179237,18.42229462,58.43466568,63.09422684,499.6796875,1199.491943,231.553299,101.4923019,2019-10-09 12:47:45,2019-10-09 12:35:00,12.75,1,-2.38403333333334e-05,-0.00319973033333335
"branch1","one","12:48:46","12:35:00",11.39042547,0.088006015,176.6969716,1.134484557,1.315210564,25.06094933,6,1.420000017,1,2.840000033,23.85410881,25.06094933,23.06794357,409.5483093,395.3318787,17.14735031,18.48448181,58.620121,63.19125366,499.6580505,1199.52124,231.7695465,101.4926758,2019-10-09 12:48:46,2019-10-09 12:35:00,13.7666666666667,1.01666666666667,-3.74551967213114e-05,-0.00102864934426228
"branch1","one","12:49:46","12:35:00",11.288921,0.085340914,172.3128887,1.107742972,1.32297564,25.12444878,6,1.420000017,1,2.840000033,23.85636902,25.12444878,23.06498718,409.536377,395.4545593,17.22192192,18.5274601,58.86606979,63.32851791,499.6648865,1200.54248,232.6650085,101.4909897,2019-10-09 12:49:46,2019-10-09 12:35:00,14.7666666666667,1,-4.44183500000001e-05,-0.00169174116666667
"branch1","one","12:50:47","12:35:00",11.10875344,0.083158959,170.5573727,1.079422966,1.32198422,25.1313324,6,1.420000017,1,2.840000033,23.86829567,25.1313324,23.06373596,409.5313721,395.6788025,17.27778625,18.54994202,59.01541519,63.36069107,499.6556702,1200.348145,233.3813477,101.4922485,2019-10-09 12:50:47,2019-10-09 12:35:00,15.7833333333333,1.01666666666667,-3.57697540983606e-05,-0.00295356655737707
"branch1","one","12:51:47","12:35:00",11.03332596,0.080145107,164.2204373,1.046942182,1.328938225,25.17936897,6,1.420000017,1,2.840000033,23.87491989,25.17936897,23.06497383,409.5512695,395.803772,17.33843994,18.57235718,59.19747543,63.41035461,499.6273499,1200.224609,233.9768066,101.489624,2019-10-09 12:51:47,2019-10-09 12:35:00,16.7833333333333,1,-5.02308666666669e-05,-0.00125712466666664
"branch1","one","12:52:48","12:35:00",10.81511178,0.077974616,162.9927439,1.015142674,1.323450924,25.15860939,6,1.420000017,1,2.840000033,23.85541725,25.15860939,23.06585693,409.5605774,396.0903625,17.39124298,18.58762169,59.44641876,63.53586197,499.6445923,1198.900513,234.361618,101.4878998,2019-10-09 12:52:48,2019-10-09 12:35:00,17.8,1.01666666666667,-3.55818196721311e-05,-0.00357728163934427
"branch1","one","12:53:48","12:35:00",10.64225946,0.075443159,159.62922,0.988560858,1.330769764,25.21652222,6,1.420000017,1,2.840000033,23.88906479,25.21652222,23.06459236,409.676178,396.4257813,17.45994949,18.62495613,59.55997086,63.53408051,499.6446838,1199.757935,234.7490845,101.4867401,2019-10-09 12:53:48,2019-10-09 12:35:00,18.8,1,-4.219095e-05,-0.00288087200000001
"branch1","one","12:54:48","12:35:00",10.51094669,0.073095354,155.3264101,0.959764,1.332361531,25.24376488,6,1.420000017,1,2.840000033,23.89881325,25.24376488,23.06360054,409.4757996,396.3963623,17.52981377,18.66088295,59.76289749,63.61896133,499.626709,1200.193237,235.7153168,101.4861374,2019-10-09 12:54:48,2019-10-09 12:35:00,19.8,1,-3.91300833333332e-05,-0.00218854616666665
"branch1","one","12:55:49","12:35:00",10.37121113,0.071246861,152.8740568,0.93451063,1.330082728,25.25086975,6,1.420000017,1,2.840000033,23.90060997,25.25086975,23.06395531,409.5748596,396.6751099,17.59555244,18.69680595,59.98046112,63.73445892,499.6333313,1199.897217,235.972641,101.4860001,2019-10-09 12:55:49,2019-10-09 12:35:00,20.8166666666667,1.01666666666667,-3.03031639344263e-05,-0.0022907468852459
"branch1","one","12:56:49","12:35:00",10.27243997,0.069905191,150.9275117,0.919003863,1.332409511,25.28330421,6,1.420000017,1,2.840000033,23.91060066,25.28330421,23.06891632,409.6564941,396.882782,17.65272903,18.73564339,60.13817596,63.82737732,499.6437988,1198.594116,237.1113739,101.4842072,2019-10-09 12:56:49,2019-10-09 12:35:00,21.8166666666667,1,-2.23611666666665e-05,-0.001646186
"branch1","one","12:57:50","12:35:00",10.10363726,0.068195444,149.2542923,0.910241213,1.351762948,25.4150238,6,1.420000017,1,2.840000033,23.95384598,25.4150238,23.06579018,409.701355,397.1338501,17.72319412,18.79575157,60.2206955,63.86508179,499.6278076,1198.95105,238.0452423,101.4828415,2019-10-09 12:57:50,2019-10-09 12:35:00,22.8333333333333,1.01666666666667,-2.80286393442625e-05,-0.00276725754098363
"branch1","one","12:58:50","12:35:00",10.07248768,0.067724712,148.5881861,0.910803778,1.361627391,25.48376846,6,1.420000017,1,2.840000033,23.97677231,25.48376846,23.0637455,409.9350586,397.4043884,17.75730515,18.8304882,60.25197601,63.89337158,499.6274719,1201.013428,239.5790863,101.4802094,2019-10-09 12:58:50,2019-10-09 12:35:00,23.8333333333333,1,-7.84553333333313e-06,-0.000519159666666654
