"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2009,7,"P1",NA,"01"
"2017Y",2009,7,"P2",NA,"02"
"2017Y",2009,7,"P3",NA,"03"
"2017Y",2009,7,"P4",NA,"04"
"2017Y",2009,7,"P5",NA,"05"
"2017Y",2009,7,"P6",NA,"06"
"2017Y",2009,7,"P7",NA,"07"
"2017Y",2009,7,"P8",NA,"08"
"2017Y",2009,7,"P9",NA,"09"
"2017Y",2009,7,"P10",NA,"010"
"2017Y",2009,7,"P11",NA,"011"
"2017Y",2009,7,"P12",NA,"012"
"2017Y",2009,7,"P13",NA,"013"
"2017Y",2009,7,"P14",NA,"014"
"2017Y",2009,7,"P15",NA,"015"
"2017Y",2009,7,"P16",NA,"016"
"2017Y",2009,7,"P17",NA,"017"
"2017Y",2009,7,"P18",NA,"018"
"2017Y",2009,7,"P19",NA,"019"
"2017Y",2009,7,"P20",NA,"020"
"2017Y",2009,7,"P21",NA,"021"
"2017Y",2009,7,"P22",NA,"022"
"2017Y",2009,7,"P23",NA,"023"
"2017Y",2009,7,"P24",0,"024"
"2017Y",2009,7,"P25",0,"025"
"2017Y",2009,7,"P26",0,"026"
"2017Y",2009,7,"P27",0,"027"
"2017Y",2009,7,"P28",0,"028"
"2017Y",2009,7,"P29",0,"029"
"2017Y",2009,7,"P30",0,"030"
"2017Y",2009,7,"P31",0,"031"
"2017Y",2009,8,"P1",68,"01"
"2017Y",2009,8,"P2",0,"02"
"2017Y",2009,8,"P3",0,"03"
"2017Y",2009,8,"P4",0,"04"
"2017Y",2009,8,"P5",0,"05"
"2017Y",2009,8,"P6",NA,"06"
"2017Y",2009,8,"P7",0,"07"
"2017Y",2009,8,"P8",88,"08"
"2017Y",2009,8,"P9",28,"09"
"2017Y",2009,8,"P10",0,"010"
"2017Y",2009,8,"P11",0,"011"
"2017Y",2009,8,"P12",0,"012"
"2017Y",2009,8,"P13",0,"013"
"2017Y",2009,8,"P14",0,"014"
"2017Y",2009,8,"P15",0,"015"
"2017Y",2009,8,"P16",0,"016"
"2017Y",2009,8,"P17",0,"017"
"2017Y",2009,8,"P18",0,"018"
"2017Y",2009,8,"P19",0,"019"
"2017Y",2009,8,"P20",0,"020"
"2017Y",2009,8,"P21",0,"021"
"2017Y",2009,8,"P22",0,"022"
"2017Y",2009,8,"P23",0,"023"
"2017Y",2009,8,"P24",0,"024"
"2017Y",2009,8,"P25",56,"025"
"2017Y",2009,8,"P26",0,"026"
"2017Y",2009,8,"P27",0,"027"
