Tree,Date,avg_SWexcess,liq_O18,liq_2H
2,14/06/2018,-6.953688972,-10.75245022,-88.64559548
2,15/06/2018,-4.803095403,-9.323929999,-76.63821239
2,16/06/2018,-8.728122301,-10.07722309,-85.76096162
2,17/06/2018,-6.238884122,-10.8535426,-88.62832808
2,18/06/2018,-4.38025788,-10.86241468,-86.83091918
2,19/06/2018,-4.713196813,-9.961533221,-80.94777604
2,20/06/2018,-5.777697096,-10.41709465,-85.1556502
2,21/06/2018,-9.921070636,-8.833945969,-78.37529782
2,22/06/2018,-10.15168867,-11.37405813,-96.13268977
2,23/06/2018,-4.859257601,-10.30408332,-83.45743248
2,24/06/2018,3.585993459,-9.881031808,-72.09312602
2,25/06/2018,-8.677742457,-8.613856342,-75.61335122
2,27/06/2018,-7.946909089,-9.897748651,-83.74137478
2,28/06/2018,-9.652455522,-8.353868511,-74.79414825
2,29/06/2018,-8.225198752,-12.12900401,-99.4153264
2,30/06/2018,-7.637338642,-10.77562296,-89.48913704
2,01/07/2018,-15.64905761,-11.05500397,-99.42858501
2,02/07/2018,-15.62518577,-9.565916546,-89.13000994
2,03/07/2018,-11.29855718,-11.30489361,-96.80232309
2,04/07/2018,-8.221217603,-8.706944545,-75.79913496
2,08/07/2018,-10.453358,-9.404101191,-82.84165622
2,09/07/2018,-8.643379493,-6.013772247,-57.638408
2,11/07/2018,-24.20733863,-11.09000442,-108.2283691
2,12/07/2018,-14.91186726,-8.556138596,-81.44922357
2,14/07/2018,-14.70596968,-7.54781881,-74.28591947
2,17/07/2018,-5.836856373,-9.851512912,-81.31229546
2,20/07/2018,5.020439762,-10.15670807,-72.5608459
2,21/07/2018,9.760326656,-9.303441707,-61.93342112
2,26/07/2018,14.09124003,-9.709152943,-60.40191528
2,27/07/2018,10.79769493,-11.4301772,-75.57052773
2,30/07/2018,16.44190903,-6.940710368,-38.9489925
2,31/07/2018,19.62141555,-7.155547767,-37.25186404
2,01/08/2018,20.02047597,-7.92664519,-42.17337585
2,02/08/2018,22.69488722,-7.551467155,-36.91023615
2,03/08/2018,30.37379931,-9.522375292,-42.83059021
2,04/08/2018,26.21802357,-8.702178439,-41.32700765
2,05/08/2018,23.9872059,-8.83850363,-44.49846915
2,07/08/2018,19.94048605,-8.315292394,-44.93503147
2,09/08/2018,14.94918521,-8.038410216,-48.01584528
2,10/08/2018,16.90809236,-7.428830804,-41.85084019
2,11/08/2018,22.12665647,-8.898383721,-46.77219121
2,12/08/2018,22.9354062,-7.052068729,-33.22386803
2,19/08/2018,15.57656517,-8.208808833,-48.56421577
2,20/08/2018,5.267962199,-7.521814478,-54.1325577
2,21/08/2018,17.2010954,-8.704927316,-50.36290307
2,22/08/2018,12.77753446,-7.713155784,-47.94324045
2,23/08/2018,10.55977894,-7.392794075,-47.95050018
