Nday,Tree,Date,avg_SWexcess,liq_O18,liq_2H
-23,6,14/06/2018,-5.402994766,-12.37810527,-98.31192113
-22,6,15/06/2018,-8.038063338,-13.2551724,-106.9987529
-20,6,17/06/2018,-8.952714321,-13.52371953,-109.7663791
-19,6,18/06/2018,-3.507356733,-12.25762037,-95.58493732
-18,6,19/06/2018,-2.82533154,-11.86928207,-92.2233778
-17,6,20/06/2018,-7.530547707,-12.12327975,-98.68117796
-16,6,21/06/2018,-2.4598962,-10.61614597,-83.21130338
-15,6,22/06/2018,-5.213353799,-13.33631806,-104.7339484
-14,6,23/06/2018,-2.585322012,-11.66068419,-90.54404291
-13,6,24/06/2018,-10.90572793,-13.71629861,-113.0481883
-12,6,25/06/2018,-10.49724384,-13.43948175,-110.7296679
-9,6,28/06/2018,-7.882836919,-11.34501302,-93.66342677
-8,6,29/06/2018,-3.616624194,-10.82032672,-85.7768786
-7,6,30/06/2018,-0.462642183,-10.6749045,-81.61948321
-4,6,03/07/2018,-1.413334797,-7.40265946,-59.99168507
-3,6,04/07/2018,-6.50188611,-10.5883988,-87.06183785
2,6,09/07/2018,-11.55305829,-13.10815755,-109.4993454
11,6,18/07/2018,-0.272100043,-14.64235093,-108.8043215
15,6,22/07/2018,-1.272532129,-13.23526039,-100.0958288
19,6,26/07/2018,3.05349515,-11.62500522,-84.65904084
20,6,27/07/2018,12.02152927,-10.72424684,-69.47577395
21,6,28/07/2018,20.82310412,-9.833142405,-54.52557847
22,6,29/07/2018,23.42445281,-11.37168816,-62.54019548
23,6,30/07/2018,31.89280439,-10.0272846,-44.79545932
24,6,31/07/2018,27.9497029,-9.946732704,-48.18275276
25,6,01/08/2018,30.10282479,-9.594591869,-43.59985911
26,6,02/08/2018,30.81265466,-9.433035668,-41.77529146
27,6,03/08/2018,33.42420888,-7.600188888,-26.51709444
28,6,04/08/2018,29.68649314,-9.039163133,-40.18373247
29,6,05/08/2018,31.99143371,-6.98478076,-23.70355354
32,6,08/08/2018,22.51486505,-9.164666557,-48.2213342
34,6,10/08/2018,21.89335536,-7.277482593,-35.82127454
35,6,11/08/2018,18.10637632,-8.200093394,-45.9742681
36,6,12/08/2018,17.71423354,-7.479688984,-41.39562045
42,6,18/08/2018,16.03182062,-6.618350644,-37.13479883
43,6,19/08/2018,13.15275496,-7.480975824,-45.96597822
44,6,20/08/2018,14.90563079,-7.343048376,-43.261403
45,6,21/08/2018,18.91621711,-3.662324949,-13.85382503
46,6,22/08/2018,12.78902136,-7.18461268,-44.28480613
47,6,23/08/2018,12.17131025,-7.702280697,-48.47442655
